distance_m,rain_rate_mmph,humidity_pct,visibility_km,Cn2,SNR_RF_dB,SNR_FSO_dB,SNR_THz_dB,C_RF_bps,C_FSO_bps,C_THz_bps,Eb_RF_J_per_bit,Eb_FSO_J_per_bit,Eb_THz_J_per_bit,best_channel,scenario
10.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,49.14054955516616,72.80620093543226,48.00266694466268,326483096.01042444,1000000000.0,1000000000.0,3.062945715168269e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
20.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,43.153361901644345,66.77040496491007,41.95863129984782,286706126.4911807,1000000000.0,1000000000.0,3.4878919827712883e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
30.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,38.858057306907455,63.233735253219606,38.41337038719898,258171097.49194777,1000000000.0,1000000000.0,3.8734002749133823e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
40.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,32.46042406823871,60.72033592077027,35.89115992349777,215678759.00092918,1000000000.0,1000000000.0,4.6365251943780515e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
50.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,40.39609760206413,58.767670546582714,33.92952393180141,268388496.84867185,1000000000.0,1000000000.0,3.7259421016238263e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
60.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,34.6905503626879,57.16970520277646,32.322463279313695,230488824.36271182,1000000000.0,1000000000.0,4.3386051482753745e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
70.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,35.77624307847273,55.81653108950413,30.960091755166218,237699843.9933375,1000000000.0,1000000000.0,4.2069863538826263e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
80.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,30.665789574351237,54.642540106839505,29.776817084077265,203763838.13751358,1000000000.0,1000000000.0,4.90764214661648e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
90.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,34.67655903934791,53.605412204306816,28.73033090359442,230395899.62900984,1000000000.0,1000000000.0,4.3403550219870624e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
100.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,31.12926216838696,52.676250552869696,27.79174536084568,206840579.9197893,1000000000.0,1000000000.0,4.834641250705204e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
110.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,28.2791022963722,51.83444351928888,26.940455926145972,187925140.8996171,1000000000.0,1000000000.0,5.321267794255183e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
120.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,30.537566858713518,51.06477172369829,26.161248976822762,202912685.91760612,1000000000.0,1000000000.0,4.928228097113927e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
130.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,30.763782678225965,50.35567701593468,25.44257112010331,204414338.4318389,1000000000.0,1000000000.0,4.89202473599202e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
140.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,24.252829258929395,49.698174766142905,24.775441721140055,161240479.90692315,1000000000.0,1000000000.0,6.201916544637271e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
150.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,22.052239267208122,49.08514231578252,24.152741522055976,146691227.0376679,1000000000.0,1000000000.0,6.81704025656024e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
160.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,25.73637544487528,48.510837531970914,23.568731318515887,171065688.2293782,1000000000.0,1000000000.0,5.845707636350325e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
170.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,24.671608483232177,47.97056356928895,23.018716812533697,164012862.29949495,1000000000.0,1000000000.0,6.097082789604357e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
180.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,27.30274321961322,47.460429594679894,22.498809406497813,181449144.1896503,1000000000.0,1000000000.0,5.511186092753361e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
190.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,24.932613987038536,46.97717628881359,22.00575175797215,165741224.11394104,1000000000.0,1000000000.0,6.033501956716191e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
200.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,24.02032306572933,46.51804615665585,21.536788132213843,159701679.32105768,1000000000.0,1000000000.0,6.261674919458056e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
210.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,23.81463309561242,46.0806855111922,21.08956641927989,158340627.63853788,1000000000.0,1000000000.0,6.31549852311318e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
220.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,24.641649883540936,45.66306927848915,20.662062965978947,163814500.5559379,1000000000.0,1000000000.0,6.104465701182107e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
230.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,23.257493810532665,45.26344253045849,20.25252413053599,154655410.58170778,1000000000.0,1000000000.0,6.4659878127683e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
240.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,21.639034502334,44.88027446937294,19.859420285120507,143963792.2573029,1000000000.0,1000000000.0,6.946191013173124e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
250.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,23.661442662896974,44.512221811448065,19.48140921437664,157327138.29140753,1000000000.0,1000000000.0,6.356182479768752e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
