distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
450.0,135.0544585917835,45135.05445859178,-45135.05445859178,-45047.05445859178,0.0
460.0,135.2453649499081,46135.24536494991,-46135.24536494991,-46047.24536494991,0.0
470.0,135.43216547499097,47135.43216547499,-47135.43216547499,-47047.43216547499,0.0
480.0,135.61503306378836,48135.61503306379,-48135.61503306379,-48047.61503306379,0.0
490.0,135.79412991684688,49135.794129916845,-49135.794129916845,-49047.794129916845,0.0
500.0,135.96960840299698,50135.969608403,-50135.969608403,-50047.969608403,0.0
510.0,136.14161183823535,51136.14161183823,-51136.14161183823,-51048.14161183823,0.0
520.0,136.3102751889726,52136.310275188975,-52136.310275188975,-52048.310275188975,0.0
530.0,136.4757257082924,53136.47572570829,-53136.47572570829,-53048.47572570829,0.0
540.0,136.638083512736,54136.638083512735,-54136.638083512735,-54048.638083512735,0.0
550.0,136.7974621061615,55136.79746210616,-55136.79746210616,-55048.79746210616,0.0
560.0,136.95396885640062,56136.953968856404,-56136.953968856404,-56048.953968856404,0.0
570.0,137.10770542972645,57137.10770542973,-57137.10770542973,-57049.10770542973,0.0
580.0,137.25876818753537,58137.25876818754,-58137.25876818754,-58049.25876818754,0.0
590.0,137.40724854911952,59137.40724854912,-59137.40724854912,-59049.40724854912,0.0
600.0,137.55323332394948,60137.553233323946,-60137.553233323946,-60049.553233323946,0.0
610.0,137.69680501649196,61137.696805016494,-61137.696805016494,-61049.696805016494,0.0
620.0,137.83804210624172,62137.83804210624,-62137.83804210624,-62049.83804210624,0.0
630.0,137.97701930534825,63137.97701930535,-63137.97701930535,-63049.97701930535,0.0
640.0,138.11380779595436,64138.113807795955,-64138.113807795955,-64050.113807795955,0.0
650.0,138.24847544913374,65138.24847544913,-65138.24847544913,-65050.24847544913,0.0
660.0,138.381087027114,66138.38108702711,-66138.38108702711,-66050.38108702711,0.0
670.0,138.51170437029316,67138.51170437029,-67138.51170437029,-67050.51170437029,0.0
680.0,138.64038657040135,68138.6403865704,-68138.6403865704,-68050.6403865704,0.0
690.0,138.76719013102172,69138.76719013102,-69138.76719013102,-69050.76719013102,0.0
700.0,138.89216911656175,70138.89216911656,-70138.89216911656,-70050.89216911656,0.0
710.0,139.01537529065814,71139.01537529066,-71139.01537529066,-71051.01537529066,0.0
720.0,139.136858244902,72139.1368582449,-72139.1368582449,-72051.1368582449,0.0
730.0,139.25666551868574,73139.25666551868,-73139.25666551868,-73051.25666551868,0.0
740.0,139.37484271089613,74139.3748427109,-74139.3748427109,-74051.3748427109,0.0
750.0,139.4914335841106,75139.49143358412,-75139.49143358412,-75051.49143358412,0.0
760.0,139.60648016189245,76139.60648016189,-76139.60648016189,-76051.60648016189,0.0
770.0,139.72002281972627,77139.72002281973,-77139.72002281973,-77051.72002281973,0.0
780.0,139.83210037008624,78139.83210037008,-78139.83210037008,-78051.83210037008,0.0
790.0,139.94275014208546,79139.94275014209,-79139.94275014209,-79051.94275014209,0.0
800.0,140.05200805611548,80140.05200805611,-80140.05200805611,-80052.05200805611,0.0
810.0,140.15990869384962,81140.15990869385,-81140.15990869385,-81052.15990869385,0.0
820.0,140.26648536395095,82140.26648536396,-82140.26648536396,-82052.26648536396,0.0
830.0,140.3717701637981,83140.3717701638,-83140.3717701638,-83052.3717701638,0.0
840.0,140.47579403751425,84140.47579403751,-84140.47579403751,-84052.47579403751,0.0
850.0,140.57858683056247,85140.57858683057,-85140.57858683057,-85052.57858683057,0.0
860.0,140.68017734114795,86140.68017734114,-86140.68017734114,-86052.68017734114,0.0
870.0,140.780593368649,87140.78059336865,-87140.78059336865,-87052.78059336865,0.0
880.0,140.87986175928,88140.87986175928,-88140.87986175928,-88052.87986175928,0.0
890.0,140.9780084491749,89140.97800844918,-89140.97800844918,-89052.97800844918,0.0
900.0,141.0750585050631,90141.07505850507,-90141.07505850507,-90053.07505850507,0.0
910.0,141.1710361626985,91141.1710361627,-91141.1710361627,-91053.1710361627,0.0
920.0,141.26596486318772,92141.26596486318,-92141.26596486318,-92053.26596486318,0.0
930.0,141.35986728735534,93141.35986728735,-93141.35986728735,-93053.35986728735,0.0
940.0,141.4527653882706,94141.45276538827,-94141.45276538827,-94053.45276538827,0.0
950.0,141.54468042205357,95141.54468042206,-95141.54468042206,-95053.54468042206,0.0
960.0,141.63563297706798,96141.63563297706,-96141.63563297706,-96053.63563297706,0.0
970.0,141.72564300160153,97141.7256430016,-97141.7256430016,-97053.7256430016,0.0
980.0,141.8147298301265,98141.81472983013,-98141.81472983013,-98053.81472983013,0.0
990.0,141.90291220822763,99141.90291220823,-99141.90291220823,-99053.90291220823,0.0
1000.0,141.9902083162766,100141.99020831627,-100141.99020831627,-100053.99020831627,0.0
1010.0,142.07663579192948,101142.07663579193,-101142.07663579193,-101054.07663579193,0.0
1020.0,142.16221175151497,102142.16221175152,-102142.16221175152,-102054.16221175152,0.0
1030.0,142.24695281038007,103142.24695281038,-103142.24695281038,-103054.24695281038,0.0
1040.0,142.33087510225224,104142.33087510226,-104142.33087510226,-104054.33087510226,0.0
1050.0,142.41399429767537,105142.41399429768,-105142.41399429768,-105054.41399429768,0.0
1060.0,142.49632562157203,106142.49632562157,-106142.49632562157,-106054.49632562157,0.0
1070.0,142.5778838699808,107142.57788386998,-107142.57788386998,-107054.57788386998,0.0
1080.0,142.6586834260156,108142.65868342601,-108142.65868342601,-108054.65868342601,0.0
1090.0,142.7387382750891,109142.73873827509,-109142.73873827509,-109054.73873827509,0.0
1100.0,142.81806201944113,110142.81806201945,-110142.81806201945,-110054.81806201945,0.0
1110.0,142.89666789200976,111142.89666789201,-111142.89666789201,-111054.89666789201,0.0
1120.0,142.97456876968025,112142.97456876968,-112142.97456876968,-112054.97456876968,0.0
1130.0,143.051777185945,113143.05177718594,-113143.05177718594,-113055.05177718594,0.0
1140.0,143.12830534300608,114143.12830534301,-114143.12830534301,-114055.12830534301,0.0
1150.0,143.20416512334884,115143.20416512334,-115143.20416512334,-115055.20416512334,0.0
1160.0,143.279368100815,116143.27936810082,-116143.27936810082,-116055.27936810082,0.0
1170.0,143.35392555119986,117143.3539255512,-117143.3539255512,-117055.3539255512,0.0
1180.0,143.42784846239914,118143.4278484624,-118143.4278484624,-118055.4278484624,0.0
