distance_m,rain_rate_mmph,humidity_pct,visibility_km,Cn2,SNR_RF_dB,SNR_FSO_dB,SNR_THz_dB,C_RF_bps,C_FSO_bps,C_THz_bps,Eb_RF_J_per_bit,Eb_FSO_J_per_bit,Eb_THz_J_per_bit,best_channel,scenario
10.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,48.55100925169005,72.09294645137135,47.99843609773916,322566326.146961,1000000000.0,1000000000.0,3.1001376118361496e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
20.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,44.67227846338264,65.34432665060665,41.9501696060008,296797177.7217963,1000000000.0,1000000000.0,3.369304275990633e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
30.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,41.93584291048731,61.09497871578617,38.40067784642842,278617557.0873927,1000000000.0,1000000000.0,3.5891492641518446e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
40.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,39.882965041759874,57.868992258317135,35.87423653580369,264979648.2106176,1000000000.0,1000000000.0,3.7738747362407077e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
50.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,33.908430636114886,55.20380582048055,33.908369697183815,225294466.09705186,1000000000.0,1000000000.0,4.438635432657375e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
60.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,33.16891403542648,52.89337106180006,32.29707819777259,220383401.02241048,1000000000.0,1000000000.0,4.537546817776496e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
70.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,31.20310809031855,50.827769825766865,30.93047582670158,207330826.8036036,1000000000.0,1000000000.0,4.823209434973513e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
80.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,31.840742714425872,48.94138745767239,29.74297030868911,211564194.96964464,1000000000.0,1000000000.0,4.726697729469208e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
90.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,29.251661631354537,47.191899065703055,28.692253281282746,194378092.65102872,1000000000.0,1000000000.0,5.144612679142408e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
100.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,31.024257470061954,45.55040410277347,27.7494368916105,206143487.83722362,1000000000.0,1000000000.0,4.850990009393975e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
110.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,27.546654986182133,43.99628799325592,26.893916609987258,183066731.67394468,1000000000.0,1000000000.0,5.462488956109588e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
120.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,28.11757626466165,42.51432897257663,26.110478813740528,186853607.7186576,1000000000.0,1000000000.0,5.351783207235064e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
130.0,13.988491205739187,88.88859486246116,0.44752107215959114,1e-14,26.809680550551192,41.09296691999673,25.387570110097556,178179749.58029467,1000000000.0,1000000000.0,5.612310054063475e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,fog
