distance_m,distance_km,L_atm_dB,L_turb_dB,L_point_dB,L_total_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
360.0,0.36,0.07948393885375693,0.013286182267016548,0.30962284345742963,0.4023929645782031,88.5976070354218,1.0000000000000001e-11,29431487997.068363,0
370.0,0.37,0.08169182604413908,0.013970612560015356,0.30962284345742963,0.4052852820615841,88.59471471793842,1.0000000000000001e-11,29430527189.998955,0
380.0,0.38,0.08389971323452121,0.014670633973601492,0.30962284345742963,0.4081931906655523,88.59180680933444,1.0000000000000001e-11,29429561203.6714,0
390.0,0.39,0.08610760042490334,0.015386177354029803,0.30962284345742963,0.4111166212363628,88.58888337876364,1.0000000000000001e-11,29428590061.05808,0
400.0,0.4,0.08831548761528549,0.016117175639330107,0.30962284345742963,0.4140555067120452,88.58594449328795,1.0000000000000001e-11,29427613784.436497,0
410.0,0.41,0.09052337480566762,0.016863563744746166,0.30962284345742963,0.41700978200784344,88.58299021799216,1.0000000000000001e-11,29426632395.42734,0
420.0,0.42,0.09273126199604975,0.017625278457136614,0.30962284345742963,0.419979383910616,88.58002061608939,1.0000000000000001e-11,29425645915.029568,0
430.0,0.43,0.0949391491864319,0.01840225833740476,0.30962284345742963,0.4229642509812663,88.57703574901873,1.0000000000000001e-11,29424654363.65279,0
440.0,0.44,0.09714703637681403,0.019194443630198278,0.30962284345742963,0.4259643234644419,88.57403567653556,1.0000000000000001e-11,29423657761.14732,0
450.0,0.45,0.09935492356719616,0.02000177618017384,0.30962284345742963,0.42897954320479964,88.5710204567952,1.0000000000000001e-11,29422656126.831936,0
460.0,0.46,0.10156281075757831,0.020824199354206395,0.30962284345742963,0.43200985356921434,88.56799014643079,1.0000000000000001e-11,29421649479.519753,0
470.0,0.47,0.10377069794796044,0.02166165796900752,0.30962284345742963,0.4350551993743976,88.5649448006256,1.0000000000000001e-11,29420637837.542274,0
480.0,0.48,0.10597858513834257,0.022514098223671127,0.30962284345742963,0.4381155268194433,88.56188447318056,1.0000000000000001e-11,29419621218.771767,0
490.0,0.49,0.10818647232872472,0.023381467636703443,0.30962284345742963,0.4411907834228578,88.55880921657715,1.0000000000000001e-11,29418599640.642204,0
500.0,0.5,0.11039435951910685,0.024263714987165213,0.30962284345742963,0.4442809179637017,88.55571908203629,1.0000000000000001e-11,29417573120.168808,0
510.0,0.51,0.11260224670948898,0.025160790259567686,0.30962284345742963,0.4473858804264863,88.55261411957352,1.0000000000000001e-11,29416541673.96638,0
520.0,0.52,0.11481013389987113,0.026072644592225407,0.30962284345742963,0.45050562194952615,88.54949437805047,1.0000000000000001e-11,29415505318.266407,0
530.0,0.53,0.11701802109025326,0.0269992302287796,0.30962284345742963,0.4536400947764625,88.54635990522354,1.0000000000000001e-11,29414464068.933216,0
540.0,0.54,0.11922590828063541,0.02794050047264031,0.30962284345742963,0.4567892522107053,88.54321074778929,1.0000000000000001e-11,29413417941.479076,0
550.0,0.55,0.12143379547101754,0.028896409644122663,0.30962284345742963,0.4599530485725698,88.54004695142743,1.0000000000000001e-11,29412366951.07845,0
560.0,0.56,0.12364168266139969,0.02986691304007067,0.30962284345742963,0.4631314391589,88.5368685608411,1.0000000000000001e-11,29411311112.5814,0
570.0,0.57,0.1258495698517818,0.0308519668957833,0.30962284345742963,0.4663243802049947,88.533675619795,1.0000000000000001e-11,29410250440.526253,0
580.0,0.58,0.12805745704216395,0.031851528349068986,0.30962284345742963,0.46953182884866257,88.53046817115134,1.0000000000000001e-11,29409184949.151516,0
590.0,0.59,0.13026534423254607,0.03286555540628181,0.30962284345742963,0.4727537430962575,88.52724625690374,1.0000000000000001e-11,29408114652.407177,0
600.0,0.6,0.13247323142292822,0.033894006910190365,0.30962284345742963,0.47599008179054825,88.52400991820946,1.0000000000000001e-11,29407039563.96538,0
610.0,0.61,0.13468111861331036,0.034936842509556726,0.30962284345742963,0.4792408045802967,88.5207591954197,1.0000000000000001e-11,29405959697.230495,0
620.0,0.62,0.1368890058036925,0.035994022630304434,0.30962284345742963,0.4825058718914266,88.51749412810858,1.0000000000000001e-11,29404875065.34877,0
630.0,0.63,0.13909689299407463,0.03706550844817102,0.30962284345742963,0.4857852448996753,88.51421475510033,1.0000000000000001e-11,29403785681.21733,0
640.0,0.64,0.14130478018445677,0.03815126186274327,0.30962284345742963,0.4890788855046297,88.51092111449537,1.0000000000000001e-11,29402691557.492867,0
650.0,0.65,0.14351266737483892,0.03925124547279109,0.30962284345742963,0.4923867563050596,88.50761324369495,1.0000000000000001e-11,29401592706.599796,0
660.0,0.66,0.14572055456522104,0.04036542255279891,0.30962284345742963,0.49570882057544957,88.50429117942456,1.0000000000000001e-11,29400489140.73807,0
670.0,0.67,0.14792844175560318,0.04149375703064325,0.30962284345742963,0.4990450422436761,88.50095495775632,1.0000000000000001e-11,29399380871.890587,0
680.0,0.68,0.15013632894598533,0.04263621346632887,0.30962284345742963,0.5023953858697439,88.49760461413025,1.0000000000000001e-11,29398267911.83026,0
690.0,0.69,0.15234421613636745,0.04379275703171572,0.30962284345742963,0.5057598166255128,88.49424018337449,1.0000000000000001e-11,29397150272.12675,0
700.0,0.7,0.1545521033267496,0.0449633534911877,0.30962284345742963,0.5091383002753669,88.49086169972463,1.0000000000000001e-11,29396027964.15288,0
710.0,0.71,0.15675999051713171,0.046147969183199924,0.30962284345742963,0.5125308031577613,88.48746919684224,1.0000000000000001e-11,29394900999.09078,0
720.0,0.72,0.15896787770751386,0.047346571002656754,0.30962284345742963,0.5159372921676002,88.48406270783241,1.0000000000000001e-11,29393769387.937714,0
730.0,0.73,0.161175764897896,0.048559126384062144,0.30962284345742963,0.5193577347393878,88.48064226526061,1.0000000000000001e-11,29392633141.511707,0
740.0,0.74,0.16338365208827815,0.04978560328541244,0.30962284345742963,0.5227920988311202,88.47720790116888,1.0000000000000001e-11,29391492270.456886,0
750.0,0.75,0.16559153927866027,0.05102597017277923,0.30962284345742963,0.5262403529088692,88.47375964709113,1.0000000000000001e-11,29390346785.248592,0
760.0,0.76,0.16779942646904242,0.05228019600555048,0.30962284345742963,0.5297024659320225,88.47029753406798,1.0000000000000001e-11,29389196696.1983,0
770.0,0.77,0.17000731365942456,0.053548250222281185,0.30962284345742963,0.5331784073391354,88.46682159266086,1.0000000000000001e-11,29388042013.458298,0
780.0,0.78,0.17221520084980668,0.05483010272714212,0.30962284345742963,0.5366681470343784,88.46333185296562,1.0000000000000001e-11,29386882747.0262,0
790.0,0.79,0.17442308804018883,0.05612572387690925,0.30962284345742963,0.5401716553745277,88.45982834462548,1.0000000000000001e-11,29385718906.74928,0
800.0,0.8,0.17663097523057097,0.057435084468486046,0.30962284345742963,0.5436889031564867,88.4563110968435,1.0000000000000001e-11,29384550502.328587,0
810.0,0.81,0.17883886242095312,0.05875815572692066,0.30962284345742963,0.5472198616053034,88.4527801383947,1.0000000000000001e-11,29383377543.322964,0
820.0,0.82,0.18104674961133524,0.06009490929389005,0.30962284345742963,0.550764502362655,88.44923549763735,1.0000000000000001e-11,29382200039.152832,0
830.0,0.83,0.18325463680171736,0.06144531721663396,0.30962284345742963,0.554322797475781,88.44567720252422,1.0000000000000001e-11,29381017999.103905,0
840.0,0.84,0.1854625239920995,0.06280935193731764,0.30962284345742963,0.5578947193868468,88.44210528061315,1.0000000000000001e-11,29379831432.33068,0
850.0,0.85,0.18767041118248165,0.064186986282789,0.30962284345742963,0.5614802409227002,88.4385197590773,1.0000000000000001e-11,29378640347.85991,0
860.0,0.86,0.1898782983728638,0.06557819345472353,0.30962284345742963,0.565079335285017,88.43492066471498,1.0000000000000001e-11,29377444754.593796,0
870.0,0.87,0.19208618556324591,0.06698294702013852,0.30962284345742963,0.568691976040814,88.43130802395919,1.0000000000000001e-11,29376244661.313175,0
880.0,0.88,0.19429407275362806,0.06840122090224283,0.30962284345742963,0.5723181371133006,88.4276818628867,1.0000000000000001e-11,29375040076.680576,0
890.0,0.89,0.1965019599440102,0.06983298937163394,0.30962284345742963,0.5759577927730738,88.42404220722693,1.0000000000000001e-11,29373831009.243126,0
900.0,0.9,0.19870984713439233,0.07127822703778836,0.30962284345742963,0.5796109176296103,88.42038908237039,1.0000000000000001e-11,29372617467.435364,0
910.0,0.91,0.20091773432477447,0.07273690884087655,0.30962284345742963,0.5832774866230807,88.41672251337693,1.0000000000000001e-11,29371399459.581993,0
920.0,0.92,0.20312562151515662,0.07420901004384461,0.30962284345742963,0.5869574750164308,88.41304252498357,1.0000000000000001e-11,29370176993.90048,0
930.0,0.93,0.20533350870553876,0.07569450622477829,0.30962284345742963,0.5906508583877467,88.40934914161225,1.0000000000000001e-11,29368950078.503613,0
940.0,0.94,0.20754139589592088,0.07719337326953181,0.30962284345742963,0.5943576126228823,88.40564238737711,1.0000000000000001e-11,29367718721.40193,0
950.0,0.95,0.209749283086303,0.07870558736459642,0.30962284345742963,0.5980777139083291,88.40192228609168,1.0000000000000001e-11,29366482930.506123,0
960.0,0.96,0.21195717027668515,0.08023112499021634,0.30962284345742963,0.6018111387243311,88.39818886127567,1.0000000000000001e-11,29365242713.629272,0
970.0,0.97,0.2141650574670673,0.08176996291372732,0.30962284345742963,0.6055578638382242,88.39444213616177,1.0000000000000001e-11,29363998078.48911,0
980.0,0.98,0.21637294465744944,0.08332207818311692,0.30962284345742963,0.609317866297996,88.390682133702,1.0000000000000001e-11,29362749032.71012,0
990.0,0.99,0.21858083184783156,0.08488744812079399,0.30962284345742963,0.6130911234260552,88.38690887657394,1.0000000000000001e-11,29361495583.82564,0
1000.0,1.0,0.2207887190382137,0.08646605031755328,0.30962284345742963,0.6168776128131966,88.3831223871868,1.0000000000000001e-11,29360237739.279854,0
1010.0,1.01,0.22299660622859585,0.08805786262673872,0.30962284345742963,0.6206773123127642,88.37932268768724,1.0000000000000001e-11,29358975506.429707,0
