distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
510.0,136.14161183823535,76636.14161183823,-76636.14161183823,-76548.14161183823,1e-10,0.0,1
520.0,136.3102751889726,78136.31027518897,-78136.31027518897,-78048.31027518897,1e-10,0.0,1
530.0,136.4757257082924,79636.4757257083,-79636.4757257083,-79548.4757257083,1e-10,0.0,1
540.0,136.638083512736,81136.63808351273,-81136.63808351273,-81048.63808351273,1e-10,0.0,1
550.0,136.7974621061615,82636.79746210616,-82636.79746210616,-82548.79746210616,1e-10,0.0,1
560.0,136.95396885640062,84136.9539688564,-84136.9539688564,-84048.9539688564,1e-10,0.0,1
570.0,137.10770542972645,85637.10770542972,-85637.10770542972,-85549.10770542972,1e-10,0.0,1
580.0,137.25876818753537,87137.25876818753,-87137.25876818753,-87049.25876818753,1e-10,0.0,1
590.0,137.40724854911952,88637.40724854912,-88637.40724854912,-88549.40724854912,1e-10,0.0,1
600.0,137.55323332394948,90137.55323332395,-90137.55323332395,-90049.55323332395,1e-10,0.0,1
610.0,137.69680501649196,91637.69680501649,-91637.69680501649,-91549.69680501649,1e-10,0.0,1
620.0,137.83804210624172,93137.83804210625,-93137.83804210625,-93049.83804210625,1e-10,0.0,1
630.0,137.97701930534825,94637.97701930536,-94637.97701930536,-94549.97701930536,1e-10,0.0,1
640.0,138.11380779595436,96138.11380779595,-96138.11380779595,-96050.11380779595,1e-10,0.0,1
650.0,138.24847544913374,97638.24847544913,-97638.24847544913,-97550.24847544913,1e-10,0.0,1
660.0,138.381087027114,99138.38108702711,-99138.38108702711,-99050.38108702711,1e-10,0.0,1
670.0,138.51170437029316,100638.51170437029,-100638.51170437029,-100550.51170437029,1e-10,0.0,1
680.0,138.64038657040135,102138.6403865704,-102138.6403865704,-102050.6403865704,1e-10,0.0,1
690.0,138.76719013102172,103638.76719013102,-103638.76719013102,-103550.76719013102,1e-10,0.0,1
700.0,138.89216911656175,105138.89216911656,-105138.89216911656,-105050.89216911656,1e-10,0.0,1
710.0,139.01537529065814,106639.01537529066,-106639.01537529066,-106551.01537529066,1e-10,0.0,1
720.0,139.136858244902,108139.1368582449,-108139.1368582449,-108051.1368582449,1e-10,0.0,1
730.0,139.25666551868574,109639.25666551868,-109639.25666551868,-109551.25666551868,1e-10,0.0,1
740.0,139.37484271089613,111139.3748427109,-111139.3748427109,-111051.3748427109,1e-10,0.0,1
750.0,139.4914335841106,112639.49143358412,-112639.49143358412,-112551.49143358412,1e-10,0.0,1
760.0,139.60648016189245,114139.60648016189,-114139.60648016189,-114051.60648016189,1e-10,0.0,1
770.0,139.72002281972627,115639.72002281973,-115639.72002281973,-115551.72002281973,1e-10,0.0,1
780.0,139.83210037008624,117139.83210037008,-117139.83210037008,-117051.83210037008,1e-10,0.0,1
790.0,139.94275014208546,118639.94275014209,-118639.94275014209,-118551.94275014209,1e-10,0.0,1
800.0,140.05200805611548,120140.05200805611,-120140.05200805611,-120052.05200805611,1e-10,0.0,1
810.0,140.15990869384962,121640.15990869385,-121640.15990869385,-121552.15990869385,1e-10,0.0,1
820.0,140.26648536395095,123140.26648536396,-123140.26648536396,-123052.26648536396,1e-10,0.0,1
830.0,140.3717701637981,124640.3717701638,-124640.3717701638,-124552.3717701638,1e-10,0.0,1
840.0,140.47579403751425,126140.47579403751,-126140.47579403751,-126052.47579403751,1e-10,0.0,1
850.0,140.57858683056247,127640.57858683057,-127640.57858683057,-127552.57858683057,1e-10,0.0,1
860.0,140.68017734114795,129140.68017734114,-129140.68017734114,-129052.68017734114,1e-10,0.0,1
870.0,140.780593368649,130640.78059336865,-130640.78059336865,-130552.78059336865,1e-10,0.0,1
880.0,140.87986175928,132140.87986175928,-132140.87986175928,-132052.87986175928,1e-10,0.0,1
890.0,140.9780084491749,133640.97800844916,-133640.97800844916,-133552.97800844916,1e-10,0.0,1
900.0,141.0750585050631,135141.07505850506,-135141.07505850506,-135053.07505850506,1e-10,0.0,1
910.0,141.1710361626985,136641.1710361627,-136641.1710361627,-136553.1710361627,1e-10,0.0,1
920.0,141.26596486318772,138141.26596486318,-138141.26596486318,-138053.26596486318,1e-10,0.0,1
930.0,141.35986728735534,139641.35986728736,-139641.35986728736,-139553.35986728736,1e-10,0.0,1
940.0,141.4527653882706,141141.45276538827,-141141.45276538827,-141053.45276538827,1e-10,0.0,1
950.0,141.54468042205357,142641.54468042206,-142641.54468042206,-142553.54468042206,1e-10,0.0,1
960.0,141.63563297706798,144141.63563297706,-144141.63563297706,-144053.63563297706,1e-10,0.0,1
970.0,141.72564300160153,145641.7256430016,-145641.7256430016,-145553.7256430016,1e-10,0.0,1
980.0,141.8147298301265,147141.81472983013,-147141.81472983013,-147053.81472983013,1e-10,0.0,1
990.0,141.90291220822763,148641.90291220823,-148641.90291220823,-148553.90291220823,1e-10,0.0,1
1000.0,141.9902083162766,150141.99020831627,-150141.99020831627,-150053.99020831627,1e-10,0.0,1
1010.0,142.07663579192948,151642.07663579192,-151642.07663579192,-151554.07663579192,1e-10,0.0,1
1020.0,142.16221175151497,153142.1622117515,-153142.1622117515,-153054.1622117515,1e-10,0.0,1
1030.0,142.24695281038007,154642.24695281038,-154642.24695281038,-154554.24695281038,1e-10,0.0,1
1040.0,142.33087510225224,156142.33087510226,-156142.33087510226,-156054.33087510226,1e-10,0.0,1
1050.0,142.41399429767537,157642.41399429768,-157642.41399429768,-157554.41399429768,1e-10,0.0,1
1060.0,142.49632562157203,159142.49632562159,-159142.49632562159,-159054.49632562159,1e-10,0.0,1
