distance_m,distance_km,L_atm_dB,L_turb_dB,L_point_dB,L_total_dB
10.0,0.01,0.012046930814434672,0.0001862854583139551,0.30962284345742963,0.3218560597301783
20.0,0.02,0.024093861628869343,0.0006638459040810576,0.30962284345742963,0.33438055099038005
30.0,0.03,0.03614079244330401,0.0013960509064203284,0.30962284345742963,0.347159686807154
40.0,0.04,0.048187723257738686,0.002365677859954058,0.30962284345742963,0.3601762445751224
50.0,0.05,0.060234654072173356,0.0035614263087947774,0.30962284345742963,0.37341892383839775
60.0,0.06,0.07228158488660802,0.004974959851955172,0.30962284345742963,0.3868793881959928
70.0,0.07,0.0843285157010427,0.006599717732420001,0.30962284345742963,0.4005510768908923
80.0,0.08,0.09637544651547737,0.00843031749186535,0.30962284345742963,0.41442860746477234
90.0,0.09,0.10842237732991203,0.010462212944346417,0.30962284345742963,0.4285074337316881
100.0,0.1,0.12046930814434671,0.012691480533027325,0.30962284345742963,0.44278363213480365
110.0,0.11,0.13251623895878137,0.015114677231692408,0.30962284345742963,0.4572537596479034
120.0,0.12,0.14456316977321604,0.017728741419627828,0.30962284345742963,0.4719147546502735
130.0,0.13,0.15661010058765074,0.02053092109260806,0.30962284345742963,0.48676386513768843
140.0,0.14,0.1686570314020854,0.023518720271603444,0.30962284345742963,0.5017985951311185
150.0,0.15,0.18070396221652005,0.02668985798214444,0.30962284345742963,0.5170166636560941
160.0,0.16,0.19275089303095475,0.03004223618807681,0.30962284345742963,0.5324159726764612
170.0,0.17,0.20479782384538942,0.033573914271274125,0.30962284345742963,0.5479945815740932
180.0,0.18,0.21684475465982406,0.03728308840411878,0.30962284345742963,0.5637506865213724
190.0,0.19,0.22889168547425875,0.04116807465001436,0.30962284345742963,0.5796826035817028
200.0,0.2,0.24093861628869342,0.04522729495270993,0.30962284345742963,0.595788754698833
210.0,0.21,0.2529855471031281,0.049459265397551896,0.30962284345742963,0.6120676559581096
220.0,0.22,0.26503247791756274,0.053862586283278356,0.30962284345742963,0.6285179076582708
230.0,0.23,0.27707940873199743,0.058435933653812666,0.30962284345742963,0.6451381858432397
240.0,0.24,0.2891263395464321,0.0631780520199505,0.30962284345742963,0.6619272350238122
250.0,0.25,0.3011732703608668,0.06808774806022169,0.30962284345742963,0.6788838618785181
260.0,0.26,0.31322020117530147,0.07316388513457932,0.30962284345742963,0.6960069297673104
270.0,0.27,0.3252671319897361,0.07840537847827303,0.30962284345742963,0.7132953539254387
280.0,0.28,0.3373140628041708,0.08381119096908952,0.30962284345742963,0.7307480972306899
290.0,0.29,0.34936099361860545,0.08938032938120039,0.30962284345742963,0.7483641664572355
300.0,0.3,0.3614079244330401,0.09511184105456212,0.30962284345742963,0.7661426089450318
310.0,0.31,0.3734548552474748,0.10100481092126307,0.30962284345742963,0.7840825096261674
320.0,0.32,0.3855017860619095,0.1070583588401064,0.30962284345742963,0.8021829883594456
330.0,0.33,0.39754871687634413,0.11327163719871847,0.30962284345742963,0.8204431975324923
