distance_m,distance_km,L_atm_dB,L_turb_dB,L_point_dB,L_total_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,0.01,0.012046930814434672,9.314272915704418e-05,0.30962284345742963,0.32176291700102133,88.67823708299898,1.0000000000000001e-11,29458272719.065586,0
20.0,0.02,0.024093861628869343,0.000331922952040621,0.30962284345742963,0.33404862803833957,88.66595137196165,1.0000000000000001e-11,29454191494.20507,0
30.0,0.03,0.03614079244330401,0.0006980254532106802,0.30962284345742963,0.3464616613539443,88.65353833864606,1.0000000000000001e-11,29450067973.7993,0
40.0,0.04,0.048187723257738686,0.001182838929977129,0.30962284345742963,0.3589934056451454,88.64100659435485,1.0000000000000001e-11,29445905018.46109,0
50.0,0.05,0.060234654072173356,0.0017807131543980139,0.30962284345742963,0.371638210684001,88.628361789316,1.0000000000000001e-11,29441704505.15555,0
60.0,0.06,0.07228158488660802,0.002487479925977932,0.30962284345742963,0.38439190827001557,88.61560809172998,1.0000000000000001e-11,29437467818.528896,0
70.0,0.07,0.0843285157010427,0.003299858866209523,0.30962284345742963,0.3972512180246819,88.60274878197532,1.0000000000000001e-11,29433196048.2993,0
80.0,0.08,0.09637544651547737,0.004215158745932587,0.30962284345742963,0.4102134487188396,88.58978655128116,1.0000000000000001e-11,29428890088.473713,0
90.0,0.09,0.10842237732991203,0.005231106472172979,0.30962284345742963,0.42327632725951464,88.57672367274048,1.0000000000000001e-11,29424550694.15729,0
100.0,0.1,0.12046930814434671,0.006345740266513808,0.30962284345742963,0.4364378918682902,88.5635621081317,1.0000000000000001e-11,29420178517.03871,0
110.0,0.11,0.13251623895878137,0.007557338615846317,0.30962284345742963,0.4496964210320573,88.55030357896794,1.0000000000000001e-11,29415774128.99225,0
120.0,0.12,0.14456316977321604,0.008864370709813657,0.30962284345742963,0.46305038394045933,88.53694961605954,1.0000000000000001e-11,29411338038.542107,0
130.0,0.13,0.15661010058765074,0.010265460546303656,0.30962284345742963,0.47649840459138404,88.52350159540862,1.0000000000000001e-11,29406870702.786274,0
140.0,0.14,0.1686570314020854,0.011759360135801656,0.30962284345742963,0.49003923499531665,88.50996076500468,1.0000000000000001e-11,29402372536.297913,0
150.0,0.15,0.18070396221652005,0.013344928991072137,0.30962284345742963,0.5036717346650218,88.49632826533498,1.0000000000000001e-11,29397843917.938667,0
160.0,0.16,0.19275089303095475,0.015021118094038301,0.30962284345742963,0.5173948545824227,88.48260514541758,1.0000000000000001e-11,29393285196.18482,0
170.0,0.17,0.20479782384538942,0.016786957135636854,0.30962284345742963,0.5312076244384559,88.46879237556155,1.0000000000000001e-11,29388696693.36604,0
180.0,0.18,0.21684475465982406,0.01864154420205887,0.30962284345742963,0.5451091423193126,88.45489085768068,1.0000000000000001e-11,29384078709.091614,0
190.0,0.19,0.22889168547425875,0.020584037325007066,0.30962284345742963,0.5590985662566954,88.4409014337433,1.0000000000000001e-11,29379431523.05737,0
200.0,0.2,0.24093861628869342,0.022613647476355192,0.30962284345742963,0.5731751072224782,88.42682489277752,1.0000000000000001e-11,29374755397.37277,0
210.0,0.21,0.2529855471031281,0.024729632698775577,0.30962284345742963,0.5873380232593333,88.41266197674067,1.0000000000000001e-11,29370050578.510704,0
220.0,0.22,0.26503247791756274,0.026931293141638852,0.30962284345742963,0.6015866145166312,88.39841338548337,1.0000000000000001e-11,29365317298.956516,0
230.0,0.23,0.27707940873199743,0.029217966826905747,0.30962284345742963,0.6159202190163329,88.38407978098367,1.0000000000000001e-11,29360555778.61456,0
