distance_m,FSPL_dB,gas_absorption_dB,total_loss_dB
10.0,101.99242509439324,0.064,102.05642509439323
20.0,108.01302500767287,0.128,108.14102500767287
30.0,111.53485018878649,0.192,111.72685018878649
40.0,114.03362492095249,0.256,114.28962492095249
50.0,115.97182518111362,0.32000000000000006,116.29182518111361
60.0,117.55545010206612,0.384,117.93945010206612
70.0,118.89438589467835,0.44800000000000006,119.34238589467834
80.0,120.05422483423212,0.512,120.56622483423212
90.0,121.07727528317974,0.576,121.65327528317974
100.0,121.99242509439324,0.6400000000000001,122.63242509439324
110.0,122.82027879755776,0.7040000000000001,123.52427879755776
120.0,123.57605001534574,0.768,124.34405001534574
130.0,124.27129214052997,0.8320000000000001,125.10329214052996
140.0,124.91498580795798,0.8960000000000001,125.81098580795798
150.0,125.51425027550687,0.96,126.47425027550686
160.0,126.07482474751174,1.024,127.09882474751174
170.0,126.60140352195873,1.088,127.68940352195872
180.0,127.09787519645937,1.152,128.24987519645936
190.0,127.5674971134498,1.2160000000000002,128.7834971134498
200.0,128.01302500767287,1.2800000000000002,129.29302500767287
210.0,128.4368109890716,1.344,129.7808109890716
220.0,128.8408787108374,1.4080000000000001,130.24887871083737
230.0,129.2269818147451,1.4720000000000002,130.6989818147451
240.0,129.59664992862537,1.536,131.13264992862537
250.0,129.951225267834,1.6,131.55122526783398
260.0,130.2918920538096,1.6640000000000001,131.95589205380958
270.0,130.619700377573,1.7280000000000002,132.347700377573
280.0,130.9355857212376,1.7920000000000003,132.7275857212376
290.0,131.24038505237235,1.8559999999999999,133.09638505237234
300.0,131.5348501887865,1.92,133.45485018878648
310.0,131.8196589710787,1.984,133.8036589710787
320.0,132.09542466079137,2.048,134.14342466079137
330.0,132.362703891951,2.112,134.474703891951
340.0,132.62200343523835,2.176,134.79800343523834
350.0,132.87378598139873,2.2399999999999998,135.11378598139873
360.0,133.118475109739,2.304,135.422475109739
370.0,133.35645957573314,2.368,135.72445957573314
380.0,133.58809702672943,2.4320000000000004,136.02009702672942
390.0,133.81371723492322,2.4960000000000004,136.30971723492323
400.0,134.0336249209525,2.5600000000000005,136.5936249209525
410.0,134.24810222878796,2.624,136.87210222878795
420.0,134.45741090235123,2.688,137.14541090235122
430.0,134.66179420598496,2.7520000000000002,137.41379420598497
440.0,134.861478624117,2.8160000000000003,137.67747862411701
450.0,135.05667536990012,2.8800000000000003,137.93667536990012
460.0,135.24758172802473,2.9440000000000004,138.19158172802472
470.0,135.43438225310757,3.008,138.44238225310758
480.0,135.617249841905,3.072,138.689249841905
490.0,135.79634669496352,3.136,138.9323466949635
500.0,135.97182518111362,3.2,139.1718251811136
510.0,136.14382861635198,3.2640000000000002,139.407828616352
520.0,136.31249196708922,3.3280000000000003,139.64049196708922
530.0,136.477942486409,3.3920000000000003,139.869942486409
540.0,136.64030029085262,3.4560000000000004,140.0963002908526
550.0,136.79967888427814,3.5200000000000005,140.31967888427815
560.0,136.95618563451723,3.5840000000000005,140.54018563451723
570.0,137.10992220784306,3.6479999999999997,140.75792220784305
580.0,137.26098496565197,3.7119999999999997,140.97298496565196
590.0,137.40946532723615,3.776,141.18546532723616
600.0,137.55545010206612,3.84,141.39545010206612
610.0,137.6990217946086,3.904,141.6030217946086
620.0,137.84025888435832,3.968,141.8082588843583
630.0,137.97923608346485,4.032,142.01123608346487
640.0,138.116024574071,4.096,142.212024574071
650.0,138.25069222725034,4.16,142.41069222725034
660.0,138.38330380523064,4.224,142.60730380523063
670.0,138.5139211484098,4.288,142.8019211484098
680.0,138.64260334851798,4.352,142.99460334851798
690.0,138.76940690913835,4.4159999999999995,143.18540690913835
700.0,138.89438589467835,4.4799999999999995,143.37438589467834
710.0,139.01759206877472,4.544,143.56159206877473
720.0,139.13907502301862,4.608,143.74707502301862
730.0,139.25888229680237,4.672,143.93088229680237
740.0,139.37705948901277,4.736,144.11305948901276
750.0,139.49365036222724,4.800000000000001,144.29365036222725
760.0,139.60869694000905,4.864000000000001,144.47269694000906
770.0,139.72223959784287,4.928000000000001,144.65023959784287
780.0,139.83431714820284,4.992000000000001,144.82631714820283
790.0,139.9449669202021,5.056000000000001,145.0009669202021
800.0,140.05422483423212,5.120000000000001,145.17422483423212
810.0,140.16212547196625,5.184000000000001,145.34612547196625
820.0,140.26870214206758,5.248,145.51670214206757
830.0,140.37398694191472,5.312,145.68598694191473
840.0,140.47801081563085,5.376,145.85401081563086
850.0,140.5808036086791,5.44,146.0208036086791
860.0,140.6823941192646,5.5040000000000004,146.18639411926458
870.0,140.7828101467656,5.5680000000000005,146.3508101467656
880.0,140.88207853739664,5.632000000000001,146.51407853739664
890.0,140.9802252272915,5.696000000000001,146.6762252272915
900.0,141.07727528317974,5.760000000000001,146.83727528317974
910.0,141.17325294081513,5.824000000000001,146.99725294081514
920.0,141.26818164130435,5.888000000000001,147.15618164130436
930.0,141.36208406547195,5.952000000000001,147.31408406547195
940.0,141.4549821663872,6.016,147.4709821663872
950.0,141.54689720017018,6.08,147.6268972001702
960.0,141.63784975518462,6.144,147.78184975518462
970.0,141.72785977971813,6.208,147.93585977971813
980.0,141.81694660824314,6.272,148.08894660824313
990.0,141.90512898634427,6.336,148.24112898634428
1000.0,141.99242509439324,6.4,148.39242509439325
1010.0,142.07885257004608,6.464,148.54285257004608
1020.0,142.1644285296316,6.5280000000000005,148.6924285296316
1030.0,142.24916958849667,6.5920000000000005,148.84116958849668
1040.0,142.33309188036884,6.656000000000001,148.98909188036885
1050.0,142.41621107579198,6.720000000000001,149.13621107579198
1060.0,142.49854239968863,6.784000000000001,149.28254239968862
1070.0,142.5801006480974,6.848000000000001,149.42810064809743
1080.0,142.66090020413225,6.912000000000001,149.57290020413225
1090.0,142.7409550532057,6.976000000000001,149.7169550532057
