distance_m,FSPL_dB,rain_loss_dB,shadowing_dB,total_loss_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,66.42940008672036,1.811949159194239e-05,1.2188683190177254,67.64828652522968,58.34141351813051,1e-07,387612003.5956182,0
20.0,72.44999999999999,3.623898318388478e-05,-4.159936424961982,68.29009981402119,57.699600229339,1e-07,383347895.13664407,0
30.0,75.97182518111362,5.4358474775827163e-05,3.001804783225829,78.97368432281422,47.016015720545965,1e-07,312368220.6496315,0
40.0,78.47059991327961,7.247796636776956e-05,3.7622588655648554,82.23293125681084,43.756768786549344,1e-07,290714893.9854635,0
50.0,80.40880017344074,9.059745795971195e-05,-7.804140754615346,72.60475001628335,53.38495002707684,1e-07,354682063.02351284,0
60.0,81.99242509439324,0.00010871694955165433,-5.208718027449272,76.78381578389352,49.20588425946667,1e-07,326917165.1390071,0
70.0,83.3313608870055,0.00012683644114359674,0.5113616126691415,83.84284933611579,42.1468507072444,1e-07,280019374.9247018,0
80.0,84.49119982655924,0.0001449559327355391,-1.2649703693743288,83.22637441311765,42.763325630242534,1e-07,284114912.7592323,0
90.0,85.51425027550687,0.0001630754243274815,-0.06720463001715518,85.44720872091403,40.54249132244615,1e-07,269361028.3778843,0
100.0,86.42940008672036,0.0001811949159194239,-3.41217571029432,83.01740557134197,42.97229447201822,1e-07,285503199.9556305,0
110.0,87.25725378988486,0.00019931440751136628,3.5175918994513142,90.77504500374368,35.2146550396165,1e-07,233969786.93333885,0
120.0,88.01302500767287,0.00021743389910330865,3.1111677417157932,91.12441018328776,34.86528986007242,1e-07,231649382.17239004,0
130.0,88.70826713285709,0.00023555339069525108,0.2641227902448642,88.97262547649265,37.017074566867535,1e-07,245941853.93874383,0
140.0,89.35196080028513,0.0002536728822871935,4.5089648278721315,93.86117930103954,32.128520742320646,1e-07,213474940.70763704,0
150.0,89.95122526783399,0.00027179237387913585,1.8700373690081824,91.82153442921606,34.16816561414413,1e-07,227019427.14699048,0
160.0,90.51179973983886,0.0002899118654710782,-3.437169851532953,87.07491980017137,38.914780243188815,1e-07,258547907.82830256,0
170.0,91.03837851428585,0.00030803135706302065,1.4750031363299954,92.51368968197292,33.47601036138727,1e-07,222422755.69395095,0
180.0,91.53485018878649,0.000326150848654963,-3.8355304033159956,87.69964593631914,38.290054107041044,1e-07,254397890.25851464,0
190.0,92.00447210577693,0.0003442703402469054,3.51380120522909,95.51861758134626,30.471082462013925,1e-07,202471366.0861382,0
200.0,92.44999999999999,0.0003623898318388478,-0.19970364394501158,92.25065874588681,33.73904129747338,1e-07,224169534.11426714,0
210.0,92.87378598139875,0.00038050932343079014,-0.7394494541810422,92.13471703654115,33.85498300681904,1e-07,224939512.94652134,0
220.0,93.27785370316448,0.00039862881502273256,-2.7237181776157655,90.55453415436374,35.43516588899645,1e-07,235434399.49310794,0
230.0,93.66395680707222,0.000416748306614675,4.890165354696121,98.55453891007497,27.43516113328522,1e-07,182327300.25662977,0
240.0,94.03362492095249,0.0004348677982066173,-0.6181179282752086,93.41594186047548,32.5737581828847,1e-07,216431313.01800987,0
250.0,94.38820026016111,0.00045298728979855973,-1.7133112886524289,92.67534195879848,33.314358084561704,1e-07,221349252.47235858,0
260.0,94.72886704613671,0.00047110678139050216,-1.4085342019529183,93.32080395096519,32.668896092395,1e-07,217063050.13538924,0
270.0,95.05667536990012,0.0004892262729824445,2.129236742213395,97.18640133838649,28.8032987049737,1e-07,191402957.3449033,0
280.0,95.37256071356475,0.000507345764574387,1.4617762574563133,96.83484431678563,29.154855726574553,1e-07,193735699.90395263,0
290.0,95.67736004469947,0.0005254652561663293,1.6509304463839536,97.32881595633958,28.660884087020605,1e-07,190458040.4341441,0
300.0,95.97182518111362,0.0005435847477582717,1.723284012031531,97.6956527778929,28.294047265467285,1e-07,188024286.02456203,0
310.0,96.25663396340582,0.000561704239350214,8.566590403481845,104.823786071127,21.165913972233184,1e-07,140843053.38719276,0
320.0,96.53239965311849,0.0005798237309421564,-1.6256600655384623,94.90731941131097,31.082380632049222,1e-07,206529347.00560594,0
330.0,96.79967888427811,0.0005979432225340989,-2.0489709162861494,94.75130591121449,31.2383941321457,1e-07,207565085.3343179,0
340.0,97.05897842756548,0.0006160627141260413,-3.255090912991511,93.8045035772881,32.185196466072085,1e-07,213851257.04733667,0
350.0,97.31076097372588,0.0006341822057179836,2.4639176903019826,99.77531284623358,26.214387197126612,1e-07,174233523.07232782,0
360.0,97.55545010206612,0.000652301697309926,4.5158891708835665,102.071991574647,23.917708468713187,1e-07,159022645.3962998,0
370.0,97.79343456806026,0.0006704211889018684,-0.4557898306195003,97.33831515862967,28.65138488473052,1e-07,190395014.98230138,0
380.0,98.02507201905655,0.0006885406804938108,-3.360625907850112,94.66513465188694,31.324565391473243,1e-07,208137168.87824085,0
390.0,98.25069222725034,0.0007066601720857532,-3.297924862764958,94.95347402465747,31.03622601870272,1e-07,206222942.4780649,0
400.0,98.47059991327961,0.0007247796636776956,2.6023711512988044,101.07369584424211,24.916004199118078,1e-07,165631225.03509063,0
410.0,98.68507722111508,0.000742899155269638,2.973016684813769,101.65883680508412,24.330863238276066,1e-07,161757003.74354818,0
420.0,98.89438589467838,0.0007610186468615803,2.17261707322078,101.06776398654601,24.921936056814175,1e-07,165670508.8785798,0
430.0,99.09876919831208,0.0007791381384535227,-2.662038829154777,96.43750950729576,29.55219053606443,1e-07,196372474.17808238,0
440.0,99.2984536164441,0.0007972576300454651,0.9286452922668791,100.22789616634103,25.76180387701916,1e-07,171234182.66368955,0
450.0,99.49365036222724,0.0008153771216374076,0.4667432365629129,99.9612089759118,26.028491067448385,1e-07,173001465.5986015,0
460.0,99.68455672035185,0.00083349661322935,0.8747543869160518,100.56014460388113,25.42955543947906,1e-07,169032842.32655764,0
470.0,99.87135724543472,0.0008516161048212923,3.4857151117927594,103.3579239733323,22.631776070027882,1e-07,150519245.77178627,0
480.0,100.05422483423212,0.0008697355964132346,0.8943821950987291,100.94947676492725,25.040223278432933,1e-07,166453903.9627839,0
490.0,100.23332168729064,0.000887855088005177,2.7156542522875795,102.94986379466623,23.03983624869396,1e-07,153216295.7034031,0
500.0,100.40880017344074,0.0009059745795971195,0.27031627795556584,100.6800224259759,25.30967761738428,1e-07,168238697.8063339,0
510.0,100.5808036086791,0.0009240940711890619,1.1564775947599366,101.73820529751023,24.251494745849953,1e-07,161231646.7756289,0
520.0,100.74946695941634,0.0009422135627810043,2.5251529033541615,103.27556207633327,22.714137967026915,1e-07,151063505.2240646,0
530.0,100.91491747873613,0.0009603330543729466,-5.828623279422666,95.08725453236784,30.90244551099235,1e-07,205334834.49972162,0
540.0,101.07727528317974,0.000978452545964889,-1.2786848654292053,99.79956887029651,26.190131173063676,1e-07,174072754.99241433,0
550.0,101.23665387660523,0.0009965720375568316,-1.881490617171182,99.3561598314716,26.633540211888587,1e-07,177011982.91903892,0
560.0,101.39316062684438,0.001014691529148774,-2.5555113929733677,98.83866392540016,27.151036117960032,1e-07,180443129.20972174,0
570.0,101.54689720017018,0.001032811020740716,-1.100569004906735,100.44736100628418,25.542339037076005,1e-07,169780047.53484362,0
580.0,101.6979599579791,0.0010509305123326586,5.9797652449375835,107.67877613342901,18.310923909931176,1e-07,122077743.60165817,0
590.0,101.84644031956324,0.0010690500039246009,-3.463324462772973,98.38418490679419,27.605515136565998,1e-07,183457107.9010971,0
600.0,101.99242509439324,0.0010871694955165434,3.8731134183659233,105.86662568225468,20.12307436110551,1e-07,133973934.62109454,0
610.0,102.13599678693572,0.0011052889871084857,-6.731479086463219,95.4056229894596,30.584077053900586,1e-07,203221421.63020813,0
620.0,102.27723387668544,0.001123408478700428,-1.3395401199430994,100.93881716522105,25.050882878139134,1e-07,166524503.88316232,0
630.0,102.416211075792,0.0011415279702923706,0.6510122604200224,103.06836486418231,22.921335179177873,1e-07,152432935.45204926,0
