distance_m,FSPL_dB,gas_absorption_dB,total_loss_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
340.0,132.62200343523835,1.972,134.59400343523836,-55.58370347859855,1.0000000000000001e-11,19942.224228692776,1
350.0,132.87378598139873,2.03,134.90378598139873,-55.893486024758914,1.0000000000000001e-11,18569.293552120736,1
360.0,133.118475109739,2.088,135.206475109739,-56.196175153099176,1.0000000000000001e-11,17319.147327884584,1
370.0,133.35645957573314,2.146,135.50245957573313,-56.492159619093314,1.0000000000000001e-11,16178.121561264163,1
380.0,133.58809702672943,2.2039999999999997,135.79209702672944,-56.781797070089624,1.0000000000000001e-11,15134.37116607759,1
390.0,133.81371723492322,2.262,136.07571723492322,-57.065417278283405,1.0000000000000001e-11,14177.58920887039,1
400.0,134.0336249209525,2.32,136.35362492095248,-57.34332496431267,1.0000000000000001e-11,13298.7752511899,1
410.0,134.24810222878796,2.3779999999999997,136.62610222878794,-57.61580227214813,1.0000000000000001e-11,12490.043187875914,1
420.0,134.45741090235123,2.436,136.89341090235123,-57.88311094571142,1.0000000000000001e-11,11744.461138355437,1
430.0,134.66179420598496,2.4939999999999998,137.15579420598496,-58.14549424934515,1.0000000000000001e-11,11055.917403849153,1
440.0,134.861478624117,2.552,137.413478624117,-58.40317866747719,1.0000000000000001e-11,10419.007794350258,1
450.0,135.05667536990012,2.61,137.66667536990013,-58.65637541326032,1.0000000000000001e-11,9828.940500548018,1
460.0,135.24758172802473,2.668,137.91558172802473,-58.90528177138492,1.0000000000000001e-11,9281.45549952352,1
470.0,135.43438225310757,2.726,138.16038225310757,-59.15008229646776,1.0000000000000001e-11,8772.755984370173,1
480.0,135.617249841905,2.784,138.40124984190498,-59.39094988526517,1.0000000000000001e-11,8299.449847660233,1
490.0,135.79634669496352,2.842,138.63834669496353,-59.62804673832372,1.0000000000000001e-11,7858.499554599538,1
500.0,135.97182518111362,2.9,138.87182518111362,-59.86152522447381,1.0000000000000001e-11,7447.17906845722,1
510.0,136.14382861635198,2.9579999999999997,139.10182861635198,-60.09152865971217,1.0000000000000001e-11,7063.036729508632,1
520.0,136.31249196708922,3.016,139.3284919670892,-60.318192010449394,1.0000000000000001e-11,6703.863153703433,1
530.0,136.477942486409,3.074,139.55194248640902,-60.541642529769206,1.0000000000000001e-11,6367.663406270557,1
540.0,136.64030029085262,3.132,139.77230029085263,-60.762000334212814,1.0000000000000001e-11,6052.632809581534,1
550.0,136.79967888427814,3.19,139.98967888427813,-60.97937892763832,1.0000000000000001e-11,5757.135845500179,1
560.0,136.95618563451723,3.248,140.20418563451722,-61.193885677877404,1.0000000000000001e-11,5479.6877357774465,1
570.0,137.10992220784306,3.3059999999999996,140.41592220784307,-61.405622251203255,1.0000000000000001e-11,5218.938282447844,1
580.0,137.26098496565197,3.364,140.62498496565198,-61.61468500901216,1.0000000000000001e-11,4973.657699142294,1
590.0,137.40946532723615,3.4219999999999997,140.83146532723615,-61.82116537059633,1.0000000000000001e-11,4742.724125790836,1
600.0,137.55545010206612,3.48,141.0354501020661,-62.025150145426295,1.0000000000000001e-11,4525.112621697678,1
610.0,137.6990217946086,3.538,141.2370217946086,-62.226721837968796,1.0000000000000001e-11,4319.885436775973,1
620.0,137.84025888435832,3.596,141.43625888435832,-62.42595892771851,1.0000000000000001e-11,4126.183387958521,1
630.0,137.97923608346485,3.654,141.63323608346485,-62.62293612682504,1.0000000000000001e-11,3943.2182206569096,1
640.0,138.116024574071,3.7119999999999997,141.82802457407098,-62.81772461743117,1.0000000000000001e-11,3770.2657950986218,1
650.0,138.25069222725034,3.77,142.02069222725035,-63.01039227061054,1.0000000000000001e-11,3606.660036677693,1
660.0,138.38330380523064,3.828,142.21130380523064,-63.20100384859083,1.0000000000000001e-11,3451.787522182433,1
670.0,138.5139211484098,3.886,142.3999211484098,-63.389621191769976,1.0000000000000001e-11,3305.0826522475763,1
680.0,138.64260334851798,3.944,142.58660334851797,-63.576303391878156,1.0000000000000001e-11,3166.0233155301926,1
690.0,138.76940690913835,4.002,142.77140690913836,-63.76110695249855,1.0000000000000001e-11,3034.1270109736943,1
700.0,138.89438589467835,4.06,142.95438589467835,-63.94408593803854,1.0000000000000001e-11,2908.9473576848554,1
710.0,139.01759206877472,4.117999999999999,143.1355920687747,-64.1252921121349,1.0000000000000001e-11,2790.0709555846533,1
720.0,139.13907502301862,4.176,143.3150750230186,-64.3047750663788,1.0000000000000001e-11,2677.11455999375,1
730.0,139.25888229680237,4.234,143.49288229680238,-64.48258234016257,1.0000000000000001e-11,2569.7225285082122,1
740.0,139.37705948901277,4.292,143.66905948901277,-64.65875953237295,1.0000000000000001e-11,2467.564512936509,1
750.0,139.49365036222724,4.35,143.84365036222724,-64.83335040558742,1.0000000000000001e-11,2370.3333738738997,1
760.0,139.60869694000905,4.4079999999999995,144.01669694000904,-65.00639698336923,1.0000000000000001e-11,2277.7432922869207,1
770.0,139.72223959784287,4.466,144.18823959784288,-65.17793964120307,1.0000000000000001e-11,2189.5280492772113,1
780.0,139.83431714820284,4.524,144.35831714820284,-65.34801719156303,1.0000000000000001e-11,2105.439472423036,1
790.0,139.9449669202021,4.582,144.52696692020209,-65.51666696356227,1.0000000000000001e-11,2025.2460134608891,1
800.0,140.05422483423212,4.64,144.6942248342321,-65.68392487759229,1.0000000000000001e-11,1948.7314621123553,1
810.0,140.16212547196625,4.698,144.86012547196626,-65.84982551532644,1.0000000000000001e-11,1875.6937672254567,1
820.0,140.26870214206758,4.755999999999999,145.02470214206758,-66.01440218542777,1.0000000000000001e-11,1805.9439636287952,1
830.0,140.37398694191472,4.814,145.18798694191472,-66.1776869852749,1.0000000000000001e-11,1739.3051886814048,1
840.0,140.47801081563085,4.872,145.35001081563087,-66.33971085899105,1.0000000000000001e-11,1675.6117885183353,1
850.0,140.5808036086791,4.93,145.5108036086791,-66.5005036520393,1.0000000000000001e-11,1614.7084931697252,1
860.0,140.6823941192646,4.9879999999999995,145.67039411926459,-66.66009416262477,1.0000000000000001e-11,1556.4496637568157,1
870.0,140.7828101467656,5.046,145.8288101467656,-66.81851019012578,1.0000000000000001e-11,1500.6986053580613,1
880.0,140.88207853739664,5.104,145.98607853739665,-66.97577858075684,1.0000000000000001e-11,1447.3269263248103,1
890.0,140.9802252272915,5.162,146.1422252272915,-67.13192527065169,1.0000000000000001e-11,1396.2139536568363,1
900.0,141.07727528317974,5.22,146.29727528317974,-67.28697532653993,1.0000000000000001e-11,1347.246209242877,1
910.0,141.17325294081513,5.278,146.45125294081512,-67.44095298417531,1.0000000000000001e-11,1300.3168957113755,1
920.0,141.26818164130435,5.336,146.60418164130436,-67.59388168466455,1.0000000000000001e-11,1255.325459163374,1
930.0,141.36208406547195,5.394,146.75608406547195,-67.74578410883214,1.0000000000000001e-11,1212.1771583122045,1
940.0,141.4549821663872,5.452,146.9069821663872,-67.89668220974738,1.0000000000000001e-11,1170.7826752676592,1
950.0,141.54689720017018,5.51,147.05689720017017,-68.04659724353036,1.0000000000000001e-11,1131.0577631595177,1
960.0,141.63784975518462,5.568,147.20584975518463,-68.19554979854482,1.0000000000000001e-11,1092.9229113798724,1
970.0,141.72785977971813,5.6259999999999994,147.35385977971814,-68.34355982307832,1.0000000000000001e-11,1056.3030380545401,1
980.0,141.81694660824314,5.684,147.50094660824314,-68.49064665160333,1.0000000000000001e-11,1021.1272065401349,1
990.0,141.90512898634427,5.742,147.64712898634426,-68.63682902970444,1.0000000000000001e-11,987.3283563365302,1
1000.0,141.99242509439324,5.8,147.79242509439325,-68.78212513775344,1.0000000000000001e-11,954.8430708386936,1
1010.0,142.07885257004608,5.858,147.93685257004609,-68.92655261340627,1.0000000000000001e-11,923.6113354782206,1
1020.0,142.1644285296316,5.9159999999999995,148.0804285296316,-69.07012857299179,1.0000000000000001e-11,893.5763359076732,1
1030.0,142.24916958849667,5.974,148.22316958849666,-69.21286963185685,1.0000000000000001e-11,864.6842609900392,1
1040.0,142.33309188036884,6.032,148.36509188036885,-69.35479192372904,1.0000000000000001e-11,836.8841170001675,1
1050.0,142.41621107579198,6.09,148.50621107579198,-69.49591111915217,1.0000000000000001e-11,810.1275610467432,1
1060.0,142.49854239968863,6.148,148.64654239968863,-69.63624244304881,1.0000000000000001e-11,784.3687360959632,1
1070.0,142.5801006480974,6.206,148.7861006480974,-69.77580069145759,1.0000000000000001e-11,759.564136427749,1
