distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
360.0,1.4049629462081452,4393.262934275022,-4363.262934275022,-4224.262934275022,0.001,0.0,1
370.0,1.4049629462081452,4515.298015782661,-4485.298015782661,-4346.298015782661,0.001,0.0,1
380.0,1.4049629462081452,4637.333097290301,-4607.333097290301,-4468.333097290301,0.001,0.0,1
390.0,1.4049629462081452,4759.36817879794,-4729.36817879794,-4590.36817879794,0.001,0.0,1
400.0,1.4049629462081452,4881.40326030558,-4851.40326030558,-4712.40326030558,0.001,0.0,1
410.0,1.4049629462081452,5003.438341813219,-4973.438341813219,-4834.438341813219,0.001,0.0,1
420.0,1.4049629462081452,5125.473423320859,-5095.473423320859,-4956.473423320859,0.001,0.0,1
430.0,1.4049629462081452,5247.508504828498,-5217.508504828498,-5078.508504828498,0.001,0.0,1
440.0,1.4049629462081452,5369.543586336138,-5339.543586336138,-5200.543586336138,0.001,0.0,1
450.0,1.4049629462081452,5491.578667843777,-5461.578667843777,-5322.578667843777,0.001,0.0,1
460.0,1.4049629462081452,5613.613749351417,-5583.613749351417,-5444.613749351417,0.001,0.0,1
470.0,1.4049629462081452,5735.648830859057,-5705.648830859057,-5566.648830859057,0.001,0.0,1
480.0,1.4049629462081452,5857.683912366696,-5827.683912366696,-5688.683912366696,0.001,0.0,1
490.0,1.4049629462081452,5979.718993874336,-5949.718993874336,-5810.718993874336,0.001,0.0,1
500.0,1.4049629462081452,6101.754075381975,-6071.754075381975,-5932.754075381975,0.001,0.0,1
510.0,1.4049629462081452,6223.789156889615,-6193.789156889615,-6054.789156889615,0.001,0.0,1
520.0,1.4049629462081452,6345.824238397254,-6315.824238397254,-6176.824238397254,0.001,0.0,1
530.0,1.4049629462081452,6467.859319904894,-6437.859319904894,-6298.859319904894,0.001,0.0,1
540.0,1.4049629462081452,6589.894401412533,-6559.894401412533,-6420.894401412533,0.001,0.0,1
550.0,1.4049629462081452,6711.929482920173,-6681.929482920173,-6542.929482920173,0.001,0.0,1
