distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1110.0,142.89666789200976,22342.89666789201,-22342.89666789201,-22254.89666789201,1e-10,0.0,1
1120.0,142.97456876968025,22542.97456876968,-22542.97456876968,-22454.97456876968,1e-10,0.0,1
1130.0,143.051777185945,22743.051777185945,-22743.051777185945,-22655.051777185945,1e-10,0.0,1
1140.0,143.12830534300608,22943.128305343005,-22943.128305343005,-22855.128305343005,1e-10,0.0,1
1150.0,143.20416512334884,23143.20416512335,-23143.20416512335,-23055.20416512335,1e-10,0.0,1
1160.0,143.279368100815,23343.279368100815,-23343.279368100815,-23255.279368100815,1e-10,0.0,1
1170.0,143.35392555119986,23543.3539255512,-23543.3539255512,-23455.3539255512,1e-10,0.0,1
1180.0,143.42784846239914,23743.427848462397,-23743.427848462397,-23655.427848462397,1e-10,0.0,1
1190.0,143.50114754412724,23943.501147544128,-23943.501147544128,-23855.501147544128,1e-10,0.0,1
1200.0,143.5738332372291,24143.573833237228,-24143.573833237228,-24055.573833237228,1e-10,0.0,1
1210.0,143.64591572260562,24343.645915722605,-24343.645915722605,-24255.645915722605,1e-10,0.0,1
1220.0,143.7174049297716,24543.717404929772,-24543.717404929772,-24455.717404929772,1e-10,0.0,1
1230.0,143.78831054506458,24743.788310545064,-24743.788310545064,-24655.788310545064,1e-10,0.0,1
1240.0,143.85864201952134,24943.85864201952,-24943.85864201952,-24855.85864201952,1e-10,0.0,1
1250.0,143.92840857643773,25143.928408576438,-25143.928408576438,-25055.928408576438,1e-10,0.0,1
1260.0,143.99761921862788,25343.99761921863,-25343.99761921863,-25255.99761921863,1e-10,0.0,1
1270.0,144.06628273539576,25544.066282735395,-25544.066282735395,-25456.066282735395,1e-10,0.0,1
1280.0,144.13440770923398,25744.134407709233,-25744.134407709233,-25656.134407709233,1e-10,0.0,1
1290.0,144.20200252226158,25944.202002522263,-25944.202002522263,-25856.202002522263,1e-10,0.0,1
1300.0,144.26907536241336,26144.269075362412,-26144.269075362412,-26056.269075362412,1e-10,0.0,1
1310.0,144.3356342293919,26344.335634229392,-26344.335634229392,-26256.335634229392,1e-10,0.0,1
1320.0,144.40168694039363,26544.401686940393,-26544.401686940393,-26456.401686940393,1e-10,0.0,1
1330.0,144.46724113561834,26744.46724113562,-26744.46724113562,-26656.46724113562,1e-10,0.0,1
1340.0,144.53230428357278,26944.532304283573,-26944.532304283573,-26856.532304283573,1e-10,0.0,1
1350.0,144.59688368617674,27144.596883686176,-27144.596883686176,-27056.596883686176,1e-10,0.0,1
1360.0,144.66098648368097,27344.66098648368,-27344.66098648368,-27256.66098648368,1e-10,0.0,1
1370.0,144.72461965940477,27544.724619659406,-27544.724619659406,-27456.724619659406,1e-10,0.0,1
1380.0,144.78779004430135,27744.7877900443,-27744.7877900443,-27656.7877900443,1e-10,0.0,1
1390.0,144.85050432135853,27944.85050432136,-27944.85050432136,-27856.85050432136,1e-10,0.0,1
1400.0,144.91276902984137,28144.91276902984,-28144.91276902984,-28056.91276902984,1e-10,0.0,1
1410.0,144.97459056938422,28344.974590569385,-28344.974590569385,-28256.974590569385,1e-10,0.0,1
1420.0,145.03597520393777,28545.035975203937,-28545.035975203937,-28457.035975203937,1e-10,0.0,1
1430.0,145.09692906557785,28745.096929065578,-28745.096929065578,-28657.096929065578,1e-10,0.0,1
1440.0,145.1574581581816,28945.15745815818,-28945.15745815818,-28857.15745815818,1e-10,0.0,1
1450.0,145.21756836097612,29145.217568360975,-29145.217568360975,-29057.217568360975,1e-10,0.0,1
1460.0,145.27726543196536,29345.277265431967,-29345.277265431967,-29257.277265431967,1e-10,0.0,1
1470.0,145.33655501124014,29545.33655501124,-29545.33655501124,-29457.33655501124,1e-10,0.0,1
1480.0,145.39544262417576,29745.395442624176,-29745.395442624176,-29657.395442624176,1e-10,0.0,1
1490.0,145.4539336845221,29945.453933684523,-29945.453933684523,-29857.453933684523,1e-10,0.0,1
1500.0,145.51203349739023,30145.51203349739,-30145.51203349739,-30057.51203349739,1e-10,0.0,1
1510.0,145.56974726214003,30345.56974726214,-30345.56974726214,-30257.56974726214,1e-10,0.0,1
1520.0,145.62708007517207,30545.627080075174,-30545.627080075174,-30457.627080075174,1e-10,0.0,1
1530.0,145.6840369326286,30745.684036932627,-30745.684036932627,-30657.684036932627,1e-10,0.0,1
1540.0,145.7406227330059,30945.740622733007,-30945.740622733007,-30857.740622733007,1e-10,0.0,1
1550.0,145.79684227968247,31145.796842279684,-31145.796842279684,-31057.796842279684,1e-10,0.0,1
1560.0,145.85270028336586,31345.852700283365,-31345.852700283365,-31257.852700283365,1e-10,0.0,1
1570.0,145.9082013644613,31545.908201364462,-31545.908201364462,-31457.908201364462,1e-10,0.0,1
1580.0,145.96335005536508,31745.963350055365,-31745.963350055365,-31657.963350055365,1e-10,0.0,1
1590.0,146.01815080268565,31946.018150802687,-31946.018150802687,-31858.018150802687,1e-10,0.0,1
1600.0,146.0726079693951,32146.072607969396,-32146.072607969396,-32058.072607969396,1e-10,0.0,1
1610.0,146.1267258369136,32346.126725836915,-32346.126725836915,-32258.126725836915,1e-10,0.0,1
1620.0,146.18050860712924,32546.18050860713,-32546.18050860713,-32458.18050860713,1e-10,0.0,1
1630.0,146.23396040435577,32746.233960404355,-32746.233960404355,-32658.233960404355,1e-10,0.0,1
1640.0,146.28708527723057,32946.28708527723,-32946.28708527723,-32858.28708527723,1e-10,0.0,1
1650.0,146.33988720055476,33146.33988720056,-33146.33988720056,-33058.33988720056,1e-10,0.0,1
1660.0,146.39237007707771,33346.392370077076,-33346.392370077076,-33258.392370077076,1e-10,0.0,1
1670.0,146.44453773922828,33546.444537739226,-33546.444537739226,-33458.444537739226,1e-10,0.0,1
1680.0,146.49639395079387,33746.496393950794,-33746.496393950794,-33658.496393950794,1e-10,0.0,1
1690.0,146.54794240855009,33946.54794240855,-33946.54794240855,-33858.54794240855,1e-10,0.0,1
1700.0,146.5991867438421,34146.59918674384,-34146.59918674384,-34058.59918674384,1e-10,0.0,1
1710.0,146.6501305241197,34346.65013052412,-34346.65013052412,-34258.65013052412,1e-10,0.0,1
1720.0,146.70077725442758,34546.70077725443,-34546.70077725443,-34458.70077725443,1e-10,0.0,1
1730.0,146.75113037885254,34746.751130378856,-34746.751130378856,-34658.751130378856,1e-10,0.0,1
1740.0,146.80119328192862,34946.80119328193,-34946.80119328193,-34858.80119328193,1e-10,0.0,1
1750.0,146.8509692900025,35146.850969290004,-35146.850969290004,-35058.850969290004,1e-10,0.0,1
1760.0,146.90046167255963,35346.90046167256,-35346.90046167256,-35258.90046167256,1e-10,0.0,1
1770.0,146.94967364351277,35546.94967364351,-35546.94967364351,-35458.94967364351,1e-10,0.0,1
1780.0,146.99860836245452,35746.99860836245,-35746.99860836245,-35658.99860836245,1e-10,0.0,1
1790.0,147.04726893587448,35947.04726893587,-35947.04726893587,-35859.04726893587,1e-10,0.0,1
1800.0,147.09565841834274,36147.095658418344,-36147.095658418344,-36059.095658418344,1e-10,0.0,1
1810.0,147.1437798136603,36347.14377981366,-36347.14377981366,-36259.14377981366,1e-10,0.0,1
1820.0,147.19163607597812,36547.19163607598,-36547.19163607598,-36459.19163607598,1e-10,0.0,1
1830.0,147.23923011088522,36747.239230110885,-36747.239230110885,-36659.239230110885,1e-10,0.0,1
1840.0,147.28656477646734,36947.28656477647,-36947.28656477647,-36859.28656477647,1e-10,0.0,1
1850.0,147.33364288433688,37147.33364288434,-37147.33364288434,-37059.33364288434,1e-10,0.0,1
1860.0,147.38046720063497,37347.38046720064,-37347.38046720064,-37259.38046720064,1e-10,0.0,1
1870.0,147.42704044700662,37547.42704044701,-37547.42704044701,-37459.42704044701,1e-10,0.0,1
1880.0,147.47336530155022,37747.47336530155,-37747.47336530155,-37659.47336530155,1e-10,0.0,1
1890.0,147.5194443997415,37947.51944439974,-37947.51944439974,-37859.51944439974,1e-10,0.0,1
1900.0,147.5652803353332,38147.56528033533,-38147.56528033533,-38059.56528033533,1e-10,0.0,1
1910.0,147.61087566123118,38347.61087566123,-38347.61087566123,-38259.61087566123,1e-10,0.0,1
1920.0,147.6562328903476,38547.656232890346,-38547.656232890346,-38459.656232890346,1e-10,0.0,1
1930.0,147.7013544964321,38747.701354496436,-38747.701354496436,-38659.701354496436,1e-10,0.0,1
1940.0,147.74624291488115,38947.74624291488,-38947.74624291488,-38859.74624291488,1e-10,0.0,1
1950.0,147.790900543527,39147.79090054353,-39147.79090054353,-39059.79090054353,1e-10,0.0,1
1960.0,147.83532974340613,39347.83532974341,-39347.83532974341,-39259.83532974341,1e-10,0.0,1
1970.0,147.8795328395085,39547.879532839506,-39547.879532839506,-39459.879532839506,1e-10,0.0,1
1980.0,147.92351212150723,39747.92351212151,-39747.92351212151,-39659.92351212151,1e-10,0.0,1
1990.0,147.96726984447076,39947.96726984447,-39947.96726984447,-39859.96726984447,1e-10,0.0,1
2000.0,148.01080822955623,40148.010808229556,-40148.010808229556,-40060.010808229556,1e-10,0.0,1
2010.0,148.0541294646864,40348.05412946468,-40348.05412946468,-40260.05412946468,1e-10,0.0,1
2020.0,148.0972357052091,40548.09723570521,-40548.09723570521,-40460.09723570521,1e-10,0.0,1
2030.0,148.14012907454088,40748.14012907454,-40748.14012907454,-40660.14012907454,1e-10,0.0,1
2040.0,148.1828116647946,40948.182811664796,-40948.182811664796,-40860.182811664796,1e-10,0.0,1
2050.0,148.2252855373917,41148.22528553739,-41148.22528553739,-41060.22528553739,1e-10,0.0,1
2060.0,148.2675527236597,41348.26755272366,-41348.26755272366,-41260.26755272366,1e-10,0.0,1
2070.0,148.30961522541497,41548.309615225415,-41548.309615225415,-41460.309615225415,1e-10,0.0,1
2080.0,148.35147501553186,41748.35147501553,-41748.35147501553,-41660.35147501553,1e-10,0.0,1
2090.0,148.3931340384977,41948.393134038495,-41948.393134038495,-41860.393134038495,1e-10,0.0,1
2100.0,148.434594210955,42148.43459421096,-42148.43459421096,-42060.43459421096,1e-10,0.0,1
2110.0,148.4758574222305,42348.47585742223,-42348.47585742223,-42260.47585742223,1e-10,0.0,1
2120.0,148.51692553485165,42548.51692553485,-42548.51692553485,-42460.51692553485,1e-10,0.0,1
2130.0,148.5578003850514,42748.55780038505,-42748.55780038505,-42660.55780038505,1e-10,0.0,1
2140.0,148.59848378326043,42948.59848378326,-42948.59848378326,-42860.59848378326,1e-10,0.0,1
2150.0,148.63897751458873,43148.63897751459,-43148.63897751459,-43060.63897751459,1e-10,0.0,1
2160.0,148.67928333929524,43348.6792833393,-43348.6792833393,-43260.6792833393,1e-10,0.0,1
2170.0,148.71940299324723,43548.71940299325,-43548.71940299325,-43460.71940299325,1e-10,0.0,1
2180.0,148.75933818836873,43748.75933818837,-43748.75933818837,-43660.75933818837,1e-10,0.0,1
2190.0,148.799090613079,43948.79909061308,-43948.79909061308,-43860.79909061308,1e-10,0.0,1
2200.0,148.83866193272075,44148.83866193272,-44148.83866193272,-44060.83866193272,1e-10,0.0,1
2210.0,148.87805378997885,44348.87805378998,-44348.87805378998,-44260.87805378998,1e-10,0.0,1
2220.0,148.91726780528938,44548.91726780529,-44548.91726780529,-44460.91726780529,1e-10,0.0,1
2230.0,148.95630557723985,44748.95630557724,-44748.95630557724,-44660.95630557724,1e-10,0.0,1
2240.0,148.99516868295987,44948.99516868296,-44948.99516868296,-44860.99516868296,1e-10,0.0,1
2250.0,149.03385867850386,45149.03385867851,-45149.03385867851,-45061.03385867851,1e-10,0.0,1
2260.0,149.07237709922464,45349.072377099226,-45349.072377099226,-45261.072377099226,1e-10,0.0,1
2270.0,149.11072546013907,45549.11072546014,-45549.11072546014,-45461.11072546014,1e-10,0.0,1
2280.0,149.1489052562857,45749.14890525628,-45749.14890525628,-45661.14890525628,1e-10,0.0,1
2290.0,149.1869179630744,45949.186917963074,-45949.186917963074,-45861.186917963074,1e-10,0.0,1
2300.0,149.22476503662847,46149.224765036626,-46149.224765036626,-46061.224765036626,1e-10,0.0,1
2310.0,149.26244791411952,46349.262447914116,-46349.262447914116,-46261.262447914116,1e-10,0.0,1
2320.0,149.29996801409462,46549.29996801409,-46549.29996801409,-46461.29996801409,1e-10,0.0,1
2330.0,149.337326736797,46749.3373267368,-46749.3373267368,-46661.3373267368,1e-10,0.0,1
2340.0,149.3745254644795,46949.37452546448,-46949.37452546448,-46861.37452546448,1e-10,0.0,1
2350.0,149.41156556171134,47149.41156556171,-47149.41156556171,-47061.41156556171,1e-10,0.0,1
2360.0,149.44844837567877,47349.44844837568,-47349.44844837568,-47261.44844837568,1e-10,0.0,1
2370.0,149.4851752364787,47549.48517523648,-47549.48517523648,-47461.48517523648,1e-10,0.0,1
2380.0,149.52174745740686,47749.52174745741,-47749.52174745741,-47661.52174745741,1e-10,0.0,1
2390.0,149.55816633523938,47949.55816633524,-47949.55816633524,-47861.55816633524,1e-10,0.0,1
2400.0,149.59443315050873,48149.59443315051,-48149.59443315051,-48061.59443315051,1e-10,0.0,1
2410.0,149.63054916777398,48349.63054916777,-48349.63054916777,-48261.63054916777,1e-10,0.0,1
2420.0,149.66651563588525,48549.66651563589,-48549.66651563589,-48461.66651563589,1e-10,0.0,1
2430.0,149.70233378824287,48749.70233378824,-48749.70233378824,-48661.70233378824,1e-10,0.0,1
2440.0,149.73800484305121,48949.73800484305,-48949.73800484305,-48861.73800484305,1e-10,0.0,1
2450.0,149.77353000356726,49149.773530003564,-49149.773530003564,-49061.773530003564,1e-10,0.0,1
2460.0,149.8089104583442,49349.80891045834,-49349.80891045834,-49261.80891045834,1e-10,0.0,1
2470.0,149.84414738146992,49549.84414738147,-49549.84414738147,-49461.84414738147,1e-10,0.0,1
2480.0,149.87924193280097,49749.8792419328,-49749.8792419328,-49661.8792419328,1e-10,0.0,1
2490.0,149.91419525819134,49949.91419525819,-49949.91419525819,-49861.91419525819,1e-10,0.0,1
2500.0,149.94900848971736,50149.94900848972,-50149.94900848972,-50061.94900848972,1e-10,0.0,1
2510.0,149.9836827458974,50349.9836827459,-50349.9836827459,-50261.9836827459,1e-10,0.0,1
2520.0,150.0182191319075,50550.01821913191,-50550.01821913191,-50462.01821913191,1e-10,0.0,1
2530.0,150.052618739793,50750.05261873979,-50750.05261873979,-50662.05261873979,1e-10,0.0,1
2540.0,150.08688264867538,50950.08688264868,-50950.08688264868,-50862.08688264868,1e-10,0.0,1
2550.0,150.12101192495572,51150.12101192496,-51150.12101192496,-51062.12101192496,1e-10,0.0,1
2560.0,150.1550076225136,51350.15500762251,-51350.15500762251,-51262.15500762251,1e-10,0.0,1
2570.0,150.1888707829025,51550.188870782906,-51550.188870782906,-51462.188870782906,1e-10,0.0,1
2580.0,150.2226024355412,51750.22260243554,-51750.22260243554,-51662.22260243554,1e-10,0.0,1
2590.0,150.25620359790165,51950.2562035979,-51950.2562035979,-51862.2562035979,1e-10,0.0,1
2600.0,150.28967527569299,52150.28967527569,-52150.28967527569,-52062.28967527569,1e-10,0.0,1
2610.0,150.32301846304225,52350.323018463045,-52350.323018463045,-52262.323018463045,1e-10,0.0,1
2620.0,150.35623414267152,52550.35623414267,-52550.35623414267,-52462.35623414267,1e-10,0.0,1
2630.0,150.38932328607177,52750.38932328607,-52750.38932328607,-52662.38932328607,1e-10,0.0,1
2640.0,150.42228685367326,52950.422286853674,-52950.422286853674,-52862.422286853674,1e-10,0.0,1
2650.0,150.45512579501278,53150.455125795015,-53150.455125795015,-53062.455125795015,1e-10,0.0,1
2660.0,150.48784104889796,53350.4878410489,-53350.4878410489,-53262.4878410489,1e-10,0.0,1
2670.0,150.52043354356815,53550.52043354357,-53550.52043354357,-53462.52043354357,1e-10,0.0,1
2680.0,150.5529041968524,53750.552904196855,-53750.552904196855,-53662.552904196855,1e-10,0.0,1
2690.0,150.5852539163248,53950.585253916324,-53950.585253916324,-53862.585253916324,1e-10,0.0,1
2700.0,150.61748359945636,54150.61748359945,-54150.61748359945,-54062.61748359945,1e-10,0.0,1
2710.0,150.64959413376474,54350.64959413376,-54350.64959413376,-54262.64959413376,1e-10,0.0,1
2720.0,150.6815863969606,54550.68158639696,-54550.68158639696,-54462.68158639696,1e-10,0.0,1
2730.0,150.71346125709175,54750.713461257095,-54750.713461257095,-54662.713461257095,1e-10,0.0,1
2740.0,150.7452195726844,54950.74521957269,-54950.74521957269,-54862.74521957269,1e-10,0.0,1
