distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
250.0,1.0882796185405306,2363.199191660762,-2333.199191660762,-2194.199191660762,0.001,0.0,1
260.0,1.0882796185405306,2457.7271593271926,-2427.7271593271926,-2288.7271593271926,0.001,0.0,1
270.0,1.0882796185405306,2552.255126993623,-2522.255126993623,-2383.255126993623,0.001,0.0,1
280.0,1.0882796185405306,2646.783094660054,-2616.783094660054,-2477.783094660054,0.001,0.0,1
290.0,1.0882796185405306,2741.3110623264843,-2711.3110623264843,-2572.3110623264843,0.001,0.0,1
300.0,1.0882796185405306,2835.8390299929147,-2805.8390299929147,-2666.8390299929147,0.001,0.0,1
310.0,1.0882796185405306,2930.366997659345,-2900.366997659345,-2761.366997659345,0.001,0.0,1
320.0,1.0882796185405306,3024.8949653257755,-2994.8949653257755,-2855.8949653257755,0.001,0.0,1
330.0,1.0882796185405306,3119.422932992206,-3089.422932992206,-2950.422932992206,0.001,0.0,1
340.0,1.0882796185405306,3213.950900658637,-3183.950900658637,-3044.950900658637,0.001,0.0,1
350.0,1.0882796185405306,3308.478868325067,-3278.478868325067,-3139.478868325067,0.001,0.0,1
360.0,1.0882796185405306,3403.0068359914976,-3373.0068359914976,-3234.0068359914976,0.001,0.0,1
370.0,1.0882796185405306,3497.534803657928,-3467.534803657928,-3328.534803657928,0.001,0.0,1
380.0,1.0882796185405306,3592.0627713243584,-3562.0627713243584,-3423.0627713243584,0.001,0.0,1
390.0,1.0882796185405306,3686.590738990789,-3656.590738990789,-3517.590738990789,0.001,0.0,1
400.0,1.0882796185405306,3781.1187066572197,-3751.1187066572197,-3612.1187066572197,0.001,0.0,1
410.0,1.0882796185405306,3875.64667432365,-3845.64667432365,-3706.64667432365,0.001,0.0,1
420.0,1.0882796185405306,3970.1746419900805,-3940.1746419900805,-3801.1746419900805,0.001,0.0,1
430.0,1.0882796185405306,4064.702609656511,-4034.702609656511,-3895.702609656511,0.001,0.0,1
440.0,1.0882796185405306,4159.230577322942,-4129.230577322942,-3990.230577322942,0.001,0.0,1
450.0,1.0882796185405306,4253.758544989372,-4223.758544989372,-4084.7585449893722,0.001,0.0,1
460.0,1.0882796185405306,4348.286512655803,-4318.286512655803,-4179.286512655803,0.001,0.0,1
470.0,1.0882796185405306,4442.814480322233,-4412.814480322233,-4273.814480322233,0.001,0.0,1
480.0,1.0882796185405306,4537.3424479886635,-4507.3424479886635,-4368.3424479886635,0.001,0.0,1
490.0,1.0882796185405306,4631.870415655094,-4601.870415655094,-4462.870415655094,0.001,0.0,1
500.0,1.0882796185405306,4726.398383321524,-4696.398383321524,-4557.398383321524,0.001,0.0,1
510.0,1.0882796185405306,4820.926350987955,-4790.926350987955,-4651.926350987955,0.001,0.0,1
520.0,1.0882796185405306,4915.454318654385,-4885.454318654385,-4746.454318654385,0.001,0.0,1
530.0,1.0882796185405306,5009.982286320816,-4979.982286320816,-4840.982286320816,0.001,0.0,1
540.0,1.0882796185405306,5104.510253987246,-5074.510253987246,-4935.510253987246,0.001,0.0,1
550.0,1.0882796185405306,5199.038221653677,-5169.038221653677,-5030.038221653677,0.001,0.0,1
560.0,1.0882796185405306,5293.566189320108,-5263.566189320108,-5124.566189320108,0.001,0.0,1
570.0,1.0882796185405306,5388.094156986538,-5358.094156986538,-5219.094156986538,0.001,0.0,1
580.0,1.0882796185405306,5482.6221246529685,-5452.6221246529685,-5313.6221246529685,0.001,0.0,1
590.0,1.0882796185405306,5577.150092319399,-5547.150092319399,-5408.150092319399,0.001,0.0,1
600.0,1.0882796185405306,5671.678059985829,-5641.678059985829,-5502.678059985829,0.001,0.0,1
610.0,1.0882796185405306,5766.20602765226,-5736.20602765226,-5597.20602765226,0.001,0.0,1
620.0,1.0882796185405306,5860.73399531869,-5830.73399531869,-5691.73399531869,0.001,0.0,1
630.0,1.0882796185405306,5955.261962985121,-5925.261962985121,-5786.261962985121,0.001,0.0,1
640.0,1.0882796185405306,6049.789930651551,-6019.789930651551,-5880.789930651551,0.001,0.0,1
650.0,1.0882796185405306,6144.317898317981,-6114.317898317981,-5975.317898317981,0.001,0.0,1
660.0,1.0882796185405306,6238.845865984412,-6208.845865984412,-6069.845865984412,0.001,0.0,1
670.0,1.0882796185405306,6333.373833650842,-6303.373833650842,-6164.373833650842,0.001,0.0,1
680.0,1.0882796185405306,6427.901801317274,-6397.901801317274,-6258.901801317274,0.001,0.0,1
690.0,1.0882796185405306,6522.429768983704,-6492.429768983704,-6353.429768983704,0.001,0.0,1
700.0,1.0882796185405306,6616.957736650134,-6586.957736650134,-6447.957736650134,0.001,0.0,1
710.0,1.0882796185405306,6711.485704316565,-6681.485704316565,-6542.485704316565,0.001,0.0,1
720.0,1.0882796185405306,6806.013671982995,-6776.013671982995,-6637.013671982995,0.001,0.0,1
730.0,1.0882796185405306,6900.541639649426,-6870.541639649426,-6731.541639649426,0.001,0.0,1
740.0,1.0882796185405306,6995.069607315856,-6965.069607315856,-6826.069607315856,0.001,0.0,1
750.0,1.0882796185405306,7089.5975749822865,-7059.5975749822865,-6920.5975749822865,0.001,0.0,1
760.0,1.0882796185405306,7184.125542648717,-7154.125542648717,-7015.125542648717,0.001,0.0,1
770.0,1.0882796185405306,7278.653510315147,-7248.653510315147,-7109.653510315147,0.001,0.0,1
780.0,1.0882796185405306,7373.181477981578,-7343.181477981578,-7204.181477981578,0.001,0.0,1
