distance_m,distance_km,L_atm_dB,L_turb_dB,L_point_dB,L_total_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,0.01,0.20992748783863163,0.0009314272915705255,0.30962284345742963,0.5204817585876318,88.47951824141236,1.0000000000000001e-11,29392259748.872158,0
20.0,0.02,0.41985497567726326,0.0033192295204055654,0.30962284345742963,0.7327970486550985,88.2672029513449,1.0000000000000001e-11,29321730136.26981,0
30.0,0.03,0.6297824635158948,0.006980254532103674,0.30962284345742963,0.9463855615054282,88.05361443849458,1.0000000000000001e-11,29250777568.21993,0
40.0,0.04,0.8397099513545265,0.011828389299771949,0.30962284345742963,1.161161184111728,87.83883881588827,1.0000000000000001e-11,29179430650.851143,0
50.0,0.05,1.0496374391931582,0.017807131543976125,0.30962284345742963,1.3770674141945638,87.62293258580544,1.0000000000000001e-11,29107708153.814762,0
60.0,0.06,1.2595649270317897,0.024874799259778025,0.30962284345742963,1.5940625697489974,87.405937430251,1.0000000000000001e-11,29035623923.573456,0
70.0,0.07,1.4694924148704216,0.03299858866209846,0.30962284345742963,1.8121138469899498,87.18788615301006,1.0000000000000001e-11,28963188857.309166,0
80.0,0.08,1.679419902709053,0.042151587459327636,0.30962284345742963,2.0311943336258103,86.9688056663742,1.0000000000000001e-11,28890411895.092075,0
90.0,0.09,1.8893473905476847,0.05231106472173292,0.30962284345742963,2.2512812987268473,86.74871870127315,1.0000000000000001e-11,28817300587.974026,0
100.0,0.1,2.0992748783863164,0.06345740266513902,0.30962284345742963,2.4723551245088853,86.52764487549112,1.0000000000000001e-11,28743861452.842342,0
110.0,0.11,2.309202366224948,0.07557338615846128,0.30962284345742963,2.694398595840839,86.30560140415916,1.0000000000000001e-11,28670100208.4403,0
120.0,0.12,2.5191298540635794,0.0886437070981367,0.30962284345742963,2.917396404619146,86.08260359538086,1.0000000000000001e-11,28596021940.01037,0
130.0,0.13,2.7290573419022115,0.10265460546303938,0.30962284345742963,3.1413347908226807,85.85866520917732,1.0000000000000001e-11,28521631218.533184,0
140.0,0.14,2.938984829740843,0.11759360135801604,0.30962284345742963,3.366201274556289,85.63379872544371,1.0000000000000001e-11,28446932189.740814,0
150.0,0.15,3.1489123175794744,0.13344928991072352,0.30962284345742963,3.5919844509476277,85.40801554905238,1.0000000000000001e-11,28371928642.250484,0
160.0,0.16,3.358839805418106,0.15021118094038252,0.30962284345742963,3.818673829815918,85.18132617018408,1.0000000000000001e-11,28296624060.825504,0
170.0,0.17,3.5687672932567382,0.16786957135637276,0.30962284345742963,4.046259708070541,84.95374029192946,1.0000000000000001e-11,28221021668.763557,0
180.0,0.18,3.7786947810953695,0.1864154420205929,0.30962284345742963,4.274733066573392,84.72526693342661,1.0000000000000001e-11,28145124462.15824,0
190.0,0.19,3.988622268934001,0.2058403732500705,0.30962284345742963,4.504085485641501,84.4959145143585,1.0000000000000001e-11,28068935237.968533,0
