distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
750.0,0.05,163.8625,-153.8625,-54.86250000000001,1e-09,47.08947301209908,1
760.0,0.05,166.03400000000002,-156.03400000000002,-57.03400000000002,1e-09,28.56104602371501,1
770.0,0.05,168.2055,-158.2055,-59.2055,1e-09,17.323046782676446,1
780.0,0.05,170.377,-160.377,-61.37700000000001,1e-09,10.506894723231921,1
790.0,0.05,172.54850000000002,-162.54850000000002,-63.54850000000002,1e-09,6.372714215129474,1
800.0,0.05,174.72,-164.72,-65.72,1e-09,3.865222338362698,1
810.0,0.05,176.8915,-166.8915,-67.89150000000001,1e-09,2.34436108610424,1
820.0,0.05,179.06300000000002,-169.06300000000002,-70.06300000000002,1e-09,1.4219178869187714,1
830.0,0.05,181.2345,-171.2345,-72.2345,1e-09,0.8624313331944694,1
840.0,0.05,183.406,-173.406,-74.406,1e-09,0.5230877285648198,1
850.0,0.05,185.57750000000001,-175.57750000000001,-76.57750000000001,1e-09,0.3172667327811145,1
860.0,0.05,187.749,-177.749,-78.749,1e-09,0.19243077701505895,1
870.0,0.05,189.9205,-179.9205,-80.9205,1e-09,0.11671442560737467,1
880.0,0.05,192.092,-182.092,-83.09200000000001,1e-09,0.07079042709319448,1
890.0,0.05,194.26350000000002,-184.26350000000002,-85.26350000000002,1e-09,0.042936290985674044,1
900.0,0.05,196.435,-186.435,-87.435,1e-09,0.026042012278844937,1
910.0,0.05,198.6065,-188.6065,-89.60650000000001,1e-09,0.01579517990168468,1
920.0,0.05,200.77800000000002,-190.77800000000002,-91.77800000000002,1e-09,0.009580199333393071,1
930.0,0.05,202.9495,-192.9495,-93.9495,1e-09,0.005810647282702164,1
940.0,0.05,205.121,-195.121,-96.12100000000001,1e-09,0.0035243137362715865,1
950.0,0.05,207.29250000000002,-197.29250000000002,-98.29250000000002,1e-09,0.00213759204758677,1
960.0,0.05,209.464,-199.464,-100.464,1e-09,0.0012965067916982358,1
970.0,0.05,211.6355,-201.6355,-102.63550000000001,1e-09,0.0007863643244290396,1
980.0,0.05,213.80700000000002,-203.80700000000002,-104.80700000000002,1e-09,0.0004769517652921115,1
990.0,0.05,215.9785,-205.9785,-106.9785,1e-09,0.00028928543042410583,1
1000.0,0.05,218.15,-208.15,-109.15,1e-09,0.00017545807646588373,1
1010.0,0.05,220.32150000000001,-210.32150000000001,-111.32150000000001,1e-09,0.00010642103188284287,1
1020.0,0.05,222.49300000000002,-212.49300000000002,-113.49300000000002,1e-09,6.454584062522238e-05,1
1030.0,0.05,224.6645,-214.6645,-115.6645,1e-09,3.914907530306899e-05,1
1040.0,0.05,226.836,-216.836,-117.83600000000001,1e-09,2.374379724625663e-05,1
1050.0,0.05,229.00750000000002,-219.00750000000002,-120.00750000000002,1e-09,1.4402605561144681e-05,1
1060.0,0.05,231.179,-221.179,-122.179,1e-09,8.735744075900636e-06,1
1070.0,0.05,233.3505,-223.3505,-124.35050000000001,1e-09,5.298467437308901e-06,1
1080.0,0.05,235.52200000000002,-225.52200000000002,-126.52200000000002,1e-09,3.213036783326005e-06,1
1090.0,0.05,237.6935,-227.6935,-128.6935,1e-09,1.9476833143193384e-06,1
1100.0,0.05,239.865,-229.865,-130.865,1e-09,1.182064379907656e-06,1
1110.0,0.05,242.03650000000002,-232.03650000000002,-133.03650000000002,1e-09,7.175675368545237e-07,1
1120.0,0.05,244.208,-234.208,-135.208,1e-09,4.3566600451882223e-07,1
1130.0,0.05,246.3795,-236.3795,-137.3795,1e-09,2.6268097331282086e-07,1
1140.0,0.05,248.55100000000002,-238.55100000000002,-139.55100000000002,1e-09,1.60171325190745e-07,1
1150.0,0.05,250.72250000000003,-240.72250000000003,-141.72250000000003,1e-09,9.610279511444721e-08,1
1160.0,0.05,252.894,-242.894,-143.894,1e-09,5.76616770686684e-08,1
1170.0,0.05,255.06550000000001,-245.06550000000001,-146.06550000000001,1e-09,3.523769154196405e-08,1
1180.0,0.05,257.237,-247.23700000000002,-148.23700000000002,1e-09,2.2423985526704408e-08,1
1190.0,0.05,259.4085,-249.4085,-150.4085,1e-09,1.2813706015259665e-08,1
1200.0,0.05,261.58,-251.57999999999998,-152.57999999999998,1e-09,6.406853007629834e-09,1
1210.0,0.05,263.7515,-253.75150000000002,-154.75150000000002,1e-09,6.406853007629834e-09,1
1220.0,0.05,265.923,-255.923,-156.923,1e-09,3.203426503814917e-09,1
1230.0,0.05,268.09450000000004,-258.09450000000004,-159.09450000000004,1e-09,3.203426503814917e-09,1
1240.0,0.05,270.266,-260.266,-161.26600000000002,1e-09,0.0,1
1250.0,0.05,272.4375,-262.4375,-163.4375,1e-09,0.0,1
1260.0,0.05,274.60900000000004,-264.60900000000004,-165.60900000000004,1e-09,0.0,1
1270.0,0.05,276.7805,-266.7805,-167.78050000000002,1e-09,0.0,1
1280.0,0.05,278.952,-268.952,-169.952,1e-09,0.0,1
1290.0,0.05,281.12350000000004,-271.12350000000004,-172.12350000000004,1e-09,0.0,1
1300.0,0.05,283.295,-273.295,-174.29500000000002,1e-09,0.0,1
1310.0,0.05,285.4665,-275.4665,-176.4665,1e-09,0.0,1
1320.0,0.05,287.63800000000003,-277.63800000000003,-178.63800000000003,1e-09,0.0,1
1330.0,0.05,289.8095,-279.8095,-180.8095,1e-09,0.0,1
1340.0,0.05,291.981,-281.981,-182.981,1e-09,0.0,1
1350.0,0.05,294.15250000000003,-284.15250000000003,-185.15250000000003,1e-09,0.0,1
1360.0,0.05,296.324,-286.324,-187.324,1e-09,0.0,1
1370.0,0.05,298.4955,-288.4955,-189.4955,1e-09,0.0,1
1380.0,0.05,300.66700000000003,-290.66700000000003,-191.66700000000003,1e-09,0.0,1
1390.0,0.05,302.8385,-292.8385,-193.8385,1e-09,0.0,1
1400.0,0.05,305.01,-295.01,-196.01,1e-09,0.0,1
1410.0,0.05,307.1815,-297.1815,-198.18150000000003,1e-09,0.0,1
1420.0,0.05,309.353,-299.353,-200.353,1e-09,0.0,1
1430.0,0.05,311.5245,-301.5245,-202.5245,1e-09,0.0,1
1440.0,0.05,313.696,-303.696,-204.69600000000003,1e-09,0.0,1
1450.0,0.05,315.8675,-305.8675,-206.8675,1e-09,0.0,1
1460.0,0.05,318.039,-308.039,-209.039,1e-09,0.0,1
1470.0,0.05,320.2105,-310.2105,-211.21050000000002,1e-09,0.0,1
1480.0,0.05,322.382,-312.382,-213.382,1e-09,0.0,1
1490.0,0.05,324.55350000000004,-314.55350000000004,-215.55350000000004,1e-09,0.0,1
1500.0,0.05,326.725,-316.725,-217.72500000000002,1e-09,0.0,1
1510.0,0.05,328.8965,-318.8965,-219.8965,1e-09,0.0,1
1520.0,0.05,331.06800000000004,-321.06800000000004,-222.06800000000004,1e-09,0.0,1
1530.0,0.05,333.2395,-323.2395,-224.23950000000002,1e-09,0.0,1
1540.0,0.05,335.411,-325.411,-226.411,1e-09,0.0,1
1550.0,0.05,337.58250000000004,-327.58250000000004,-228.58250000000004,1e-09,0.0,1
1560.0,0.05,339.754,-329.754,-230.75400000000002,1e-09,0.0,1
1570.0,0.05,341.9255,-331.9255,-232.9255,1e-09,0.0,1
1580.0,0.05,344.09700000000004,-334.09700000000004,-235.09700000000004,1e-09,0.0,1
