distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
280.0,1.5390597961942367,3743.116549128079,-3713.116549128079,-3574.116549128079,0.001,0.0,1
290.0,1.5390597961942367,3876.7992830255102,-3846.7992830255102,-3707.7992830255102,0.001,0.0,1
300.0,1.5390597961942367,4010.482016922942,-3980.482016922942,-3841.482016922942,0.001,0.0,1
310.0,1.5390597961942367,4144.164750820373,-4114.164750820373,-3975.1647508203732,0.001,0.0,1
320.0,1.5390597961942367,4277.847484717805,-4247.847484717805,-4108.847484717805,0.001,0.0,1
330.0,1.5390597961942367,4411.530218615236,-4381.530218615236,-4242.530218615236,0.001,0.0,1
340.0,1.5390597961942367,4545.2129525126675,-4515.2129525126675,-4376.2129525126675,0.001,0.0,1
350.0,1.5390597961942367,4678.895686410099,-4648.895686410099,-4509.895686410099,0.001,0.0,1
360.0,1.5390597961942367,4812.57842030753,-4782.57842030753,-4643.57842030753,0.001,0.0,1
370.0,1.5390597961942367,4946.261154204962,-4916.261154204962,-4777.261154204962,0.001,0.0,1
380.0,1.5390597961942367,5079.9438881023925,-5049.9438881023925,-4910.9438881023925,0.001,0.0,1
390.0,1.5390597961942367,5213.626621999824,-5183.626621999824,-5044.626621999824,0.001,0.0,1
400.0,1.5390597961942367,5347.309355897256,-5317.309355897256,-5178.309355897256,0.001,0.0,1
410.0,1.5390597961942367,5480.992089794687,-5450.992089794687,-5311.992089794687,0.001,0.0,1
420.0,1.5390597961942367,5614.6748236921185,-5584.6748236921185,-5445.6748236921185,0.001,0.0,1
430.0,1.5390597961942367,5748.35755758955,-5718.35755758955,-5579.35755758955,0.001,0.0,1
440.0,1.5390597961942367,5882.040291486981,-5852.040291486981,-5713.040291486981,0.001,0.0,1
450.0,1.5390597961942367,6015.723025384413,-5985.723025384413,-5846.723025384413,0.001,0.0,1
460.0,1.5390597961942367,6149.405759281844,-6119.405759281844,-5980.405759281844,0.001,0.0,1
470.0,1.5390597961942367,6283.088493179275,-6253.088493179275,-6114.088493179275,0.001,0.0,1
480.0,1.5390597961942367,6416.771227076707,-6386.771227076707,-6247.771227076707,0.001,0.0,1
490.0,1.5390597961942367,6550.453960974139,-6520.453960974139,-6381.453960974139,0.001,0.0,1
500.0,1.5390597961942367,6684.1366948715695,-6654.1366948715695,-6515.1366948715695,0.001,0.0,1
510.0,1.5390597961942367,6817.819428769001,-6787.819428769001,-6648.819428769001,0.001,0.0,1
520.0,1.5390597961942367,6951.502162666433,-6921.502162666433,-6782.502162666433,0.001,0.0,1
530.0,1.5390597961942367,7085.184896563864,-7055.184896563864,-6916.184896563864,0.001,0.0,1
540.0,1.5390597961942367,7218.867630461295,-7188.867630461295,-7049.867630461295,0.001,0.0,1
550.0,1.5390597961942367,7352.550364358726,-7322.550364358726,-7183.550364358726,0.001,0.0,1
560.0,1.5390597961942367,7486.233098256158,-7456.233098256158,-7317.233098256158,0.001,0.0,1
570.0,1.5390597961942367,7619.91583215359,-7589.91583215359,-7450.91583215359,0.001,0.0,1
580.0,1.5390597961942367,7753.5985660510205,-7723.5985660510205,-7584.5985660510205,0.001,0.0,1
590.0,1.5390597961942367,7887.281299948452,-7857.281299948452,-7718.281299948452,0.001,0.0,1
600.0,1.5390597961942367,8020.964033845884,-7990.964033845884,-7851.964033845884,0.001,0.0,1
610.0,1.5390597961942367,8154.646767743315,-8124.646767743315,-7985.646767743315,0.001,0.0,1
620.0,1.5390597961942367,8288.329501640746,-8258.329501640746,-8119.3295016407465,0.001,0.0,1
630.0,1.5390597961942367,8422.012235538177,-8392.012235538177,-8253.012235538177,0.001,0.0,1
640.0,1.5390597961942367,8555.69496943561,-8525.69496943561,-8386.69496943561,0.001,0.0,1
650.0,1.5390597961942367,8689.37770333304,-8659.37770333304,-8520.37770333304,0.001,0.0,1
660.0,1.5390597961942367,8823.060437230472,-8793.060437230472,-8654.060437230472,0.001,0.0,1
670.0,1.5390597961942367,8956.743171127904,-8926.743171127904,-8787.743171127904,0.001,0.0,1
680.0,1.5390597961942367,9090.425905025335,-9060.425905025335,-8921.425905025335,0.001,0.0,1
690.0,1.5390597961942367,9224.108638922766,-9194.108638922766,-9055.108638922766,0.001,0.0,1
700.0,1.5390597961942367,9357.791372820198,-9327.791372820198,-9188.791372820198,0.001,0.0,1
710.0,1.5390597961942367,9491.47410671763,-9461.47410671763,-9322.47410671763,0.001,0.0,1
720.0,1.5390597961942367,9625.15684061506,-9595.15684061506,-9456.15684061506,0.001,0.0,1
730.0,1.5390597961942367,9758.839574512493,-9728.839574512493,-9589.839574512493,0.001,0.0,1
740.0,1.5390597961942367,9892.522308409923,-9862.522308409923,-9723.522308409923,0.001,0.0,1
750.0,1.5390597961942367,10026.205042307354,-9996.205042307354,-9857.205042307354,0.001,0.0,1
760.0,1.5390597961942367,10159.887776204785,-10129.887776204785,-9990.887776204785,0.001,0.0,1
770.0,1.5390597961942367,10293.570510102218,-10263.570510102218,-10124.570510102218,0.001,0.0,1
780.0,1.5390597961942367,10427.253243999648,-10397.253243999648,-10258.253243999648,0.001,0.0,1
790.0,1.5390597961942367,10560.93597789708,-10530.93597789708,-10391.93597789708,0.001,0.0,1
800.0,1.5390597961942367,10694.618711794512,-10664.618711794512,-10525.618711794512,0.001,0.0,1
810.0,1.5390597961942367,10828.301445691943,-10798.301445691943,-10659.301445691943,0.001,0.0,1
820.0,1.5390597961942367,10961.984179589374,-10931.984179589374,-10792.984179589374,0.001,0.0,1
830.0,1.5390597961942367,11095.666913486806,-11065.666913486806,-10926.666913486806,0.001,0.0,1
840.0,1.5390597961942367,11229.349647384237,-11199.349647384237,-11060.349647384237,0.001,0.0,1
850.0,1.5390597961942367,11363.032381281668,-11333.032381281668,-11194.032381281668,0.001,0.0,1
860.0,1.5390597961942367,11496.7151151791,-11466.7151151791,-11327.7151151791,0.001,0.0,1
870.0,1.5390597961942367,11630.397849076531,-11600.397849076531,-11461.397849076531,0.001,0.0,1
880.0,1.5390597961942367,11764.080582973962,-11734.080582973962,-11595.080582973962,0.001,0.0,1
890.0,1.5390597961942367,11897.763316871395,-11867.763316871395,-11728.763316871395,0.001,0.0,1
900.0,1.5390597961942367,12031.446050768825,-12001.446050768825,-11862.446050768825,0.001,0.0,1
910.0,1.5390597961942367,12165.128784666256,-12135.128784666256,-11996.128784666256,0.001,0.0,1
920.0,1.5390597961942367,12298.811518563689,-12268.811518563689,-12129.811518563689,0.001,0.0,1
930.0,1.5390597961942367,12432.49425246112,-12402.49425246112,-12263.49425246112,0.001,0.0,1
940.0,1.5390597961942367,12566.17698635855,-12536.17698635855,-12397.17698635855,0.001,0.0,1
950.0,1.5390597961942367,12699.859720255983,-12669.859720255983,-12530.859720255983,0.001,0.0,1
960.0,1.5390597961942367,12833.542454153414,-12803.542454153414,-12664.542454153414,0.001,0.0,1
970.0,1.5390597961942367,12967.225188050845,-12937.225188050845,-12798.225188050845,0.001,0.0,1
980.0,1.5390597961942367,13100.907921948277,-13070.907921948277,-12931.907921948277,0.001,0.0,1
990.0,1.5390597961942367,13234.590655845708,-13204.590655845708,-13065.590655845708,0.001,0.0,1
1000.0,1.5390597961942367,13368.273389743139,-13338.273389743139,-13199.273389743139,0.001,0.0,1
1010.0,1.5390597961942367,13501.956123640572,-13471.956123640572,-13332.956123640572,0.001,0.0,1
1020.0,1.5390597961942367,13635.638857538002,-13605.638857538002,-13466.638857538002,0.001,0.0,1
1030.0,1.5390597961942367,13769.321591435433,-13739.321591435433,-13600.321591435433,0.001,0.0,1
1040.0,1.5390597961942367,13903.004325332866,-13873.004325332866,-13734.004325332866,0.001,0.0,1
1050.0,1.5390597961942367,14036.687059230297,-14006.687059230297,-13867.687059230297,0.001,0.0,1
1060.0,1.5390597961942367,14170.369793127727,-14140.369793127727,-14001.369793127727,0.001,0.0,1
1070.0,1.5390597961942367,14304.052527025158,-14274.052527025158,-14135.052527025158,0.001,0.0,1
1080.0,1.5390597961942367,14437.73526092259,-14407.73526092259,-14268.73526092259,0.001,0.0,1
1090.0,1.5390597961942367,14571.417994820022,-14541.417994820022,-14402.417994820022,0.001,0.0,1
1100.0,1.5390597961942367,14705.100728717453,-14675.100728717453,-14536.100728717453,0.001,0.0,1
1110.0,1.5390597961942367,14838.783462614885,-14808.783462614885,-14669.783462614885,0.001,0.0,1
1120.0,1.5390597961942367,14972.466196512316,-14942.466196512316,-14803.466196512316,0.001,0.0,1
1130.0,1.5390597961942367,15106.148930409747,-15076.148930409747,-14937.148930409747,0.001,0.0,1
1140.0,1.5390597961942367,15239.83166430718,-15209.83166430718,-15070.83166430718,0.001,0.0,1
1150.0,1.5390597961942367,15373.51439820461,-15343.51439820461,-15204.51439820461,0.001,0.0,1
1160.0,1.5390597961942367,15507.197132102041,-15477.197132102041,-15338.197132102041,0.001,0.0,1
1170.0,1.5390597961942367,15640.879865999474,-15610.879865999474,-15471.879865999474,0.001,0.0,1
1180.0,1.5390597961942367,15774.562599896904,-15744.562599896904,-15605.562599896904,0.001,0.0,1
1190.0,1.5390597961942367,15908.245333794335,-15878.245333794335,-15739.245333794335,0.001,0.0,1
