distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
870.0,1.0,3779.41,-3769.41,-3670.41,1e-09,0.0,1
880.0,1.0,3822.84,-3812.84,-3713.84,1e-09,0.0,1
890.0,1.0,3866.27,-3856.27,-3757.27,1e-09,0.0,1
900.0,1.0,3909.7,-3899.7,-3800.7,1e-09,0.0,1
910.0,1.0,3953.13,-3943.13,-3844.13,1e-09,0.0,1
920.0,1.0,3996.56,-3986.56,-3887.56,1e-09,0.0,1
930.0,1.0,4039.99,-4029.99,-3930.99,1e-09,0.0,1
940.0,1.0,4083.42,-4073.42,-3974.42,1e-09,0.0,1
950.0,1.0,4126.85,-4116.85,-4017.8500000000004,1e-09,0.0,1
960.0,1.0,4170.28,-4160.28,-4061.2799999999997,1e-09,0.0,1
970.0,1.0,4213.71,-4203.71,-4104.71,1e-09,0.0,1
980.0,1.0,4257.14,-4247.14,-4148.14,1e-09,0.0,1
990.0,1.0,4300.57,-4290.57,-4191.57,1e-09,0.0,1
1000.0,1.0,4344.0,-4334.0,-4235.0,1e-09,0.0,1
1010.0,1.0,4387.43,-4377.43,-4278.43,1e-09,0.0,1
1020.0,1.0,4430.86,-4420.86,-4321.86,1e-09,0.0,1
1030.0,1.0,4474.29,-4464.29,-4365.29,1e-09,0.0,1
1040.0,1.0,4517.72,-4507.72,-4408.72,1e-09,0.0,1
1050.0,1.0,4561.15,-4551.15,-4452.15,1e-09,0.0,1
1060.0,1.0,4604.58,-4594.58,-4495.58,1e-09,0.0,1
1070.0,1.0,4648.01,-4638.01,-4539.01,1e-09,0.0,1
1080.0,1.0,4691.44,-4681.44,-4582.44,1e-09,0.0,1
1090.0,1.0,4734.87,-4724.87,-4625.87,1e-09,0.0,1
1100.0,1.0,4778.3,-4768.3,-4669.3,1e-09,0.0,1
1110.0,1.0,4821.73,-4811.73,-4712.73,1e-09,0.0,1
1120.0,1.0,4865.16,-4855.16,-4756.16,1e-09,0.0,1
1130.0,1.0,4908.59,-4898.59,-4799.59,1e-09,0.0,1
1140.0,1.0,4952.0199999999995,-4942.0199999999995,-4843.0199999999995,1e-09,0.0,1
1150.0,1.0,4995.45,-4985.45,-4886.45,1e-09,0.0,1
1160.0,1.0,5038.88,-5028.88,-4929.88,1e-09,0.0,1
1170.0,1.0,5082.31,-5072.31,-4973.31,1e-09,0.0,1
1180.0,1.0,5125.74,-5115.74,-5016.74,1e-09,0.0,1
1190.0,1.0,5169.17,-5159.17,-5060.17,1e-09,0.0,1
1200.0,1.0,5212.6,-5202.6,-5103.6,1e-09,0.0,1
1210.0,1.0,5256.03,-5246.03,-5147.03,1e-09,0.0,1
1220.0,1.0,5299.46,-5289.46,-5190.46,1e-09,0.0,1
1230.0,1.0,5342.89,-5332.89,-5233.89,1e-09,0.0,1
1240.0,1.0,5386.32,-5376.32,-5277.32,1e-09,0.0,1
1250.0,1.0,5429.75,-5419.75,-5320.75,1e-09,0.0,1
1260.0,1.0,5473.18,-5463.18,-5364.18,1e-09,0.0,1
1270.0,1.0,5516.61,-5506.61,-5407.61,1e-09,0.0,1
1280.0,1.0,5560.04,-5550.04,-5451.04,1e-09,0.0,1
1290.0,1.0,5603.47,-5593.47,-5494.47,1e-09,0.0,1
1300.0,1.0,5646.9,-5636.9,-5537.9,1e-09,0.0,1
1310.0,1.0,5690.33,-5680.33,-5581.33,1e-09,0.0,1
1320.0,1.0,5733.76,-5723.76,-5624.76,1e-09,0.0,1
1330.0,1.0,5777.19,-5767.19,-5668.19,1e-09,0.0,1
1340.0,1.0,5820.62,-5810.62,-5711.62,1e-09,0.0,1
1350.0,1.0,5864.05,-5854.05,-5755.05,1e-09,0.0,1
1360.0,1.0,5907.48,-5897.48,-5798.48,1e-09,0.0,1
1370.0,1.0,5950.91,-5940.91,-5841.91,1e-09,0.0,1
1380.0,1.0,5994.34,-5984.34,-5885.34,1e-09,0.0,1
1390.0,1.0,6037.7699999999995,-6027.7699999999995,-5928.7699999999995,1e-09,0.0,1
1400.0,1.0,6081.2,-6071.2,-5972.2,1e-09,0.0,1
1410.0,1.0,6124.63,-6114.63,-6015.63,1e-09,0.0,1
1420.0,1.0,6168.06,-6158.06,-6059.06,1e-09,0.0,1
1430.0,1.0,6211.49,-6201.49,-6102.49,1e-09,0.0,1
1440.0,1.0,6254.92,-6244.92,-6145.92,1e-09,0.0,1
1450.0,1.0,6298.35,-6288.35,-6189.35,1e-09,0.0,1
1460.0,1.0,6341.78,-6331.78,-6232.78,1e-09,0.0,1
1470.0,1.0,6385.21,-6375.21,-6276.21,1e-09,0.0,1
1480.0,1.0,6428.64,-6418.64,-6319.64,1e-09,0.0,1
1490.0,1.0,6472.07,-6462.07,-6363.07,1e-09,0.0,1
1500.0,1.0,6515.5,-6505.5,-6406.5,1e-09,0.0,1
1510.0,1.0,6558.93,-6548.93,-6449.93,1e-09,0.0,1
1520.0,1.0,6602.36,-6592.36,-6493.36,1e-09,0.0,1
1530.0,1.0,6645.79,-6635.79,-6536.79,1e-09,0.0,1
1540.0,1.0,6689.22,-6679.22,-6580.22,1e-09,0.0,1
1550.0,1.0,6732.65,-6722.65,-6623.65,1e-09,0.0,1
1560.0,1.0,6776.08,-6766.08,-6667.08,1e-09,0.0,1
1570.0,1.0,6819.51,-6809.51,-6710.51,1e-09,0.0,1
1580.0,1.0,6862.94,-6852.94,-6753.94,1e-09,0.0,1
1590.0,1.0,6906.37,-6896.37,-6797.37,1e-09,0.0,1
1600.0,1.0,6949.8,-6939.8,-6840.8,1e-09,0.0,1
1610.0,1.0,6993.23,-6983.23,-6884.23,1e-09,0.0,1
1620.0,1.0,7036.66,-7026.66,-6927.66,1e-09,0.0,1
1630.0,1.0,7080.09,-7070.09,-6971.09,1e-09,0.0,1
1640.0,1.0,7123.5199999999995,-7113.5199999999995,-7014.5199999999995,1e-09,0.0,1
1650.0,1.0,7166.95,-7156.95,-7057.95,1e-09,0.0,1
1660.0,1.0,7210.38,-7200.38,-7101.38,1e-09,0.0,1
1670.0,1.0,7253.81,-7243.81,-7144.81,1e-09,0.0,1
1680.0,1.0,7297.24,-7287.24,-7188.24,1e-09,0.0,1
1690.0,1.0,7340.67,-7330.67,-7231.67,1e-09,0.0,1
1700.0,1.0,7384.1,-7374.1,-7275.1,1e-09,0.0,1
1710.0,1.0,7427.53,-7417.53,-7318.53,1e-09,0.0,1
1720.0,1.0,7470.96,-7460.96,-7361.96,1e-09,0.0,1
1730.0,1.0,7514.39,-7504.39,-7405.39,1e-09,0.0,1
1740.0,1.0,7557.82,-7547.82,-7448.82,1e-09,0.0,1
1750.0,1.0,7601.25,-7591.25,-7492.25,1e-09,0.0,1
1760.0,1.0,7644.68,-7634.68,-7535.68,1e-09,0.0,1
1770.0,1.0,7688.11,-7678.11,-7579.11,1e-09,0.0,1
1780.0,1.0,7731.54,-7721.54,-7622.54,1e-09,0.0,1
1790.0,1.0,7774.97,-7764.97,-7665.97,1e-09,0.0,1
1800.0,1.0,7818.4,-7808.4,-7709.4,1e-09,0.0,1
1810.0,1.0,7861.83,-7851.83,-7752.83,1e-09,0.0,1
1820.0,1.0,7905.26,-7895.26,-7796.26,1e-09,0.0,1
1830.0,1.0,7948.69,-7938.69,-7839.69,1e-09,0.0,1
1840.0,1.0,7992.12,-7982.12,-7883.12,1e-09,0.0,1
1850.0,1.0,8035.55,-8025.55,-7926.55,1e-09,0.0,1
1860.0,1.0,8078.98,-8068.98,-7969.98,1e-09,0.0,1
