distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1680.0,1.2566370614359172,18337.451186262395,-18307.451186262395,-18168.451186262395,0.001,0.0,1
1690.0,1.2566370614359172,18446.602681418717,-18416.602681418717,-18277.602681418717,0.001,0.0,1
1700.0,1.2566370614359172,18555.754176575043,-18525.754176575043,-18386.754176575043,0.001,0.0,1
1710.0,1.2566370614359172,18664.905671731365,-18634.905671731365,-18495.905671731365,0.001,0.0,1
1720.0,1.2566370614359172,18774.057166887687,-18744.057166887687,-18605.057166887687,0.001,0.0,1
1730.0,1.2566370614359172,18883.208662044013,-18853.208662044013,-18714.208662044013,0.001,0.0,1
1740.0,1.2566370614359172,18992.360157200335,-18962.360157200335,-18823.360157200335,0.001,0.0,1
1750.0,1.2566370614359172,19101.51165235666,-19071.51165235666,-18932.51165235666,0.001,0.0,1
1760.0,1.2566370614359172,19210.663147512983,-19180.663147512983,-19041.663147512983,0.001,0.0,1
1770.0,1.2566370614359172,19319.81464266931,-19289.81464266931,-19150.81464266931,0.001,0.0,1
1780.0,1.2566370614359172,19428.96613782563,-19398.96613782563,-19259.96613782563,0.001,0.0,1
1790.0,1.2566370614359172,19538.117632981954,-19508.117632981954,-19369.117632981954,0.001,0.0,1
1800.0,1.2566370614359172,19647.26912813828,-19617.26912813828,-19478.26912813828,0.001,0.0,1
1810.0,1.2566370614359172,19756.4206232946,-19726.4206232946,-19587.4206232946,0.001,0.0,1
1820.0,1.2566370614359172,19865.572118450928,-19835.572118450928,-19696.572118450928,0.001,0.0,1
1830.0,1.2566370614359172,19974.72361360725,-19944.72361360725,-19805.72361360725,0.001,0.0,1
1840.0,1.2566370614359172,20083.875108763576,-20053.875108763576,-19914.875108763576,0.001,0.0,1
1850.0,1.2566370614359172,20193.026603919898,-20163.026603919898,-20024.026603919898,0.001,0.0,1
1860.0,1.2566370614359172,20302.17809907622,-20272.17809907622,-20133.17809907622,0.001,0.0,1
