distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
870.0,0.5,1890.205,-1880.205,-1781.205,1e-09,0.0,1
880.0,0.5,1911.92,-1901.92,-1802.92,1e-09,0.0,1
890.0,0.5,1933.635,-1923.635,-1824.635,1e-09,0.0,1
900.0,0.5,1955.35,-1945.35,-1846.35,1e-09,0.0,1
910.0,0.5,1977.065,-1967.065,-1868.065,1e-09,0.0,1
920.0,0.5,1998.78,-1988.78,-1889.78,1e-09,0.0,1
930.0,0.5,2020.495,-2010.495,-1911.495,1e-09,0.0,1
940.0,0.5,2042.21,-2032.21,-1933.21,1e-09,0.0,1
950.0,0.5,2063.925,-2053.925,-1954.9250000000002,1e-09,0.0,1
960.0,0.5,2085.64,-2075.64,-1976.6399999999999,1e-09,0.0,1
970.0,0.5,2107.355,-2097.355,-1998.355,1e-09,0.0,1
980.0,0.5,2129.07,-2119.07,-2020.0700000000002,1e-09,0.0,1
990.0,0.5,2150.785,-2140.785,-2041.7849999999999,1e-09,0.0,1
1000.0,0.5,2172.5,-2162.5,-2063.5,1e-09,0.0,1
1010.0,0.5,2194.215,-2184.215,-2085.215,1e-09,0.0,1
1020.0,0.5,2215.93,-2205.93,-2106.93,1e-09,0.0,1
1030.0,0.5,2237.645,-2227.645,-2128.645,1e-09,0.0,1
1040.0,0.5,2259.36,-2249.36,-2150.36,1e-09,0.0,1
1050.0,0.5,2281.075,-2271.075,-2172.075,1e-09,0.0,1
1060.0,0.5,2302.79,-2292.79,-2193.79,1e-09,0.0,1
1070.0,0.5,2324.505,-2314.505,-2215.505,1e-09,0.0,1
1080.0,0.5,2346.22,-2336.22,-2237.22,1e-09,0.0,1
1090.0,0.5,2367.935,-2357.935,-2258.935,1e-09,0.0,1
1100.0,0.5,2389.65,-2379.65,-2280.65,1e-09,0.0,1
1110.0,0.5,2411.365,-2401.365,-2302.365,1e-09,0.0,1
1120.0,0.5,2433.08,-2423.08,-2324.08,1e-09,0.0,1
1130.0,0.5,2454.795,-2444.795,-2345.795,1e-09,0.0,1
1140.0,0.5,2476.5099999999998,-2466.5099999999998,-2367.5099999999998,1e-09,0.0,1
1150.0,0.5,2498.225,-2488.225,-2389.225,1e-09,0.0,1
1160.0,0.5,2519.94,-2509.94,-2410.94,1e-09,0.0,1
1170.0,0.5,2541.655,-2531.655,-2432.655,1e-09,0.0,1
1180.0,0.5,2563.37,-2553.37,-2454.37,1e-09,0.0,1
1190.0,0.5,2585.085,-2575.085,-2476.085,1e-09,0.0,1
1200.0,0.5,2606.8,-2596.8,-2497.8,1e-09,0.0,1
1210.0,0.5,2628.515,-2618.515,-2519.515,1e-09,0.0,1
1220.0,0.5,2650.23,-2640.23,-2541.23,1e-09,0.0,1
1230.0,0.5,2671.945,-2661.945,-2562.945,1e-09,0.0,1
1240.0,0.5,2693.66,-2683.66,-2584.66,1e-09,0.0,1
1250.0,0.5,2715.375,-2705.375,-2606.375,1e-09,0.0,1
1260.0,0.5,2737.09,-2727.09,-2628.09,1e-09,0.0,1
1270.0,0.5,2758.805,-2748.805,-2649.805,1e-09,0.0,1
1280.0,0.5,2780.52,-2770.52,-2671.52,1e-09,0.0,1
1290.0,0.5,2802.235,-2792.235,-2693.235,1e-09,0.0,1
1300.0,0.5,2823.95,-2813.95,-2714.95,1e-09,0.0,1
1310.0,0.5,2845.665,-2835.665,-2736.665,1e-09,0.0,1
1320.0,0.5,2867.38,-2857.38,-2758.38,1e-09,0.0,1
1330.0,0.5,2889.095,-2879.095,-2780.095,1e-09,0.0,1
1340.0,0.5,2910.81,-2900.81,-2801.81,1e-09,0.0,1
1350.0,0.5,2932.525,-2922.525,-2823.525,1e-09,0.0,1
1360.0,0.5,2954.24,-2944.24,-2845.24,1e-09,0.0,1
1370.0,0.5,2975.955,-2965.955,-2866.955,1e-09,0.0,1
1380.0,0.5,2997.67,-2987.67,-2888.67,1e-09,0.0,1
1390.0,0.5,3019.3849999999998,-3009.3849999999998,-2910.3849999999998,1e-09,0.0,1
1400.0,0.5,3041.1,-3031.1,-2932.1,1e-09,0.0,1
1410.0,0.5,3062.815,-3052.815,-2953.815,1e-09,0.0,1
1420.0,0.5,3084.53,-3074.53,-2975.53,1e-09,0.0,1
1430.0,0.5,3106.245,-3096.245,-2997.245,1e-09,0.0,1
1440.0,0.5,3127.96,-3117.96,-3018.96,1e-09,0.0,1
1450.0,0.5,3149.675,-3139.675,-3040.675,1e-09,0.0,1
1460.0,0.5,3171.39,-3161.39,-3062.39,1e-09,0.0,1
1470.0,0.5,3193.105,-3183.105,-3084.105,1e-09,0.0,1
1480.0,0.5,3214.82,-3204.82,-3105.82,1e-09,0.0,1
1490.0,0.5,3236.535,-3226.535,-3127.535,1e-09,0.0,1
1500.0,0.5,3258.25,-3248.25,-3149.25,1e-09,0.0,1
1510.0,0.5,3279.965,-3269.965,-3170.965,1e-09,0.0,1
1520.0,0.5,3301.68,-3291.68,-3192.68,1e-09,0.0,1
1530.0,0.5,3323.395,-3313.395,-3214.395,1e-09,0.0,1
1540.0,0.5,3345.11,-3335.11,-3236.11,1e-09,0.0,1
1550.0,0.5,3366.825,-3356.825,-3257.825,1e-09,0.0,1
1560.0,0.5,3388.54,-3378.54,-3279.54,1e-09,0.0,1
1570.0,0.5,3410.255,-3400.255,-3301.255,1e-09,0.0,1
1580.0,0.5,3431.97,-3421.97,-3322.97,1e-09,0.0,1
1590.0,0.5,3453.685,-3443.685,-3344.685,1e-09,0.0,1
1600.0,0.5,3475.4,-3465.4,-3366.4,1e-09,0.0,1
