distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
10.0,1.2566370614359172,109.15149515632378,-79.15149515632378,59.848504843676224,19881.244461628965
20.0,1.2566370614359172,218.30299031264755,-188.30299031264755,-49.30299031264755,0.016938422375208095
30.0,1.2566370614359172,327.4544854689713,-297.4544854689713,-158.4544854689713,3.203426503814917e-13
40.0,1.2566370614359172,436.6059806252951,-406.6059806252951,-267.6059806252951,0.0
50.0,1.2566370614359172,545.7574757816188,-515.7574757816188,-376.75747578161884,0.0
60.0,1.2566370614359172,654.9089709379426,-624.9089709379426,-485.9089709379426,0.0
70.0,1.2566370614359172,764.0604660942664,-734.0604660942664,-595.0604660942664,0.0
80.0,1.2566370614359172,873.2119612505902,-843.2119612505902,-704.2119612505902,0.0
90.0,1.2566370614359172,982.363456406914,-952.363456406914,-813.363456406914,0.0
100.0,1.2566370614359172,1091.5149515632377,-1061.5149515632377,-922.5149515632377,0.0
110.0,1.2566370614359172,1200.6664467195615,-1170.6664467195615,-1031.6664467195615,0.0
120.0,1.2566370614359172,1309.8179418758853,-1279.8179418758853,-1140.8179418758853,0.0
130.0,1.2566370614359172,1418.969437032209,-1388.969437032209,-1249.969437032209,0.0
140.0,1.2566370614359172,1528.1209321885328,-1498.1209321885328,-1359.1209321885328,0.0
150.0,1.2566370614359172,1637.2724273448566,-1607.2724273448566,-1468.2724273448566,0.0
160.0,1.2566370614359172,1746.4239225011804,-1716.4239225011804,-1577.4239225011804,0.0
170.0,1.2566370614359172,1855.5754176575042,-1825.5754176575042,-1686.5754176575042,0.0
180.0,1.2566370614359172,1964.726912813828,-1934.726912813828,-1795.726912813828,0.0
190.0,1.2566370614359172,2073.878407970152,-2043.8784079701518,-1904.8784079701518,0.0
200.0,1.2566370614359172,2183.0299031264753,-2153.0299031264753,-2014.0299031264753,0.0
210.0,1.2566370614359172,2292.1813982827994,-2262.1813982827994,-2123.1813982827994,0.0
220.0,1.2566370614359172,2401.332893439123,-2371.332893439123,-2232.332893439123,0.0
230.0,1.2566370614359172,2510.484388595447,-2480.484388595447,-2341.484388595447,0.0
