distance_m,rain_rate_mmph,humidity_pct,visibility_km,Cn2,SNR_RF_dB,SNR_FSO_dB,SNR_THz_dB,C_RF_bps,C_FSO_bps,C_THz_bps,Eb_RF_J_per_bit,Eb_FSO_J_per_bit,Eb_THz_J_per_bit,best_channel,scenario
1980.0,0.0,36.45058616983593,24.13695735821147,1e-15,4.808761053192654,26.252565254639322,-0.2703659475209861,40187302.06924394,1000000000.0,1000000000.0,2.4883481809178675e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1990.0,0.0,36.45058616983593,24.13695735821147,1e-15,1.3371069842136336,26.205815212614695,-0.32605884633542814,24782315.004876178,1000000000.0,1000000000.0,4.035135538400023e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2000.0,0.0,36.45058616983593,24.13695735821147,1e-15,0.6943211421952498,26.159285531373285,-0.38153240727189086,22398573.267546963,1000000000.0,1000000000.0,4.464570077991926e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2010.0,0.0,36.45058616983593,24.13695735821147,1e-15,2.061814834499316,26.1129740174528,-0.4367888182529782,27654594.39008214,1000000000.0,1000000000.0,3.6160356788983803e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2020.0,0.0,36.45058616983593,24.13695735821147,1e-15,6.091621676193682,26.066878510023216,-0.4918302346266614,46816663.90038773,1000000000.0,1000000000.0,2.13599158224454e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2030.0,0.0,36.45058616983593,24.13695735821147,1e-15,3.974997351674574,26.02099688024228,-0.5466587798093769,36126207.797145665,1000000000.0,1000000000.0,2.7680735426623168e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2040.0,0.0,36.45058616983593,24.13695735821147,1e-15,3.444885646972409,25.975327030627014,-0.601276545914061,33655870.56459594,1000000000.0,1000000000.0,2.971249839105167e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2050.0,0.0,36.45058616983593,24.13695735821147,1e-15,-0.028926451386055874,25.92986689444089,-0.6556855943620974,19904068.414150093,1000000000.0,1000000000.0,5.024098486765075e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2060.0,0.0,36.45058616983593,24.13695735821147,1e-15,2.6991059472374985,25.884614435095216,-0.7098879564810545,30337487.490744643,1000000000.0,1000000000.0,3.296251874203755e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2070.0,0.0,36.45058616983593,24.13695735821147,1e-15,2.137869460875308,25.839567645565538,-0.7638856340872735,27967157.778257698,1000000000.0,1000000000.0,3.5756225495943056e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2080.0,0.0,36.45058616983593,24.13695735821147,1e-15,1.6126881969352098,25.794724547822,-0.8176806000550982,25851735.231281046,1000000000.0,1000000000.0,3.868212292341532e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2090.0,0.0,36.45058616983593,24.13695735821147,1e-15,-1.130860008429181,25.75008319227331,-0.8712747988718945,16487224.314819606,1000000000.0,1000000000.0,6.065302326851622e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2100.0,0.0,36.45058616983593,24.13695735821147,1e-15,3.097379701329274,25.705641657223836,-0.9246701471801657,32086232.920883477,1000000000.0,1000000000.0,3.116601448558161e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2110.0,0.0,36.45058616983593,24.13695735821147,1e-15,0.939729778148191,25.66139804834394,-0.9778685343065661,23290256.101577077,1000000000.0,1000000000.0,4.293641064480549e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2120.0,0.0,36.45058616983593,24.13695735821147,1e-15,2.976913835598353,25.61735049815252,-1.030871822778721,31551564.581388783,1000000000.0,1000000000.0,3.1694149347822413e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2130.0,0.0,36.45058616983593,24.13695735821147,1e-15,2.0578714146821966,25.573497165511753,-1.0836818488293716,27638445.005595945,1000000000.0,1000000000.0,3.6181485600855273e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2140.0,0.0,36.45058616983593,24.13695735821147,1e-15,4.267912689715288,25.52983623513397,-1.1363004228894056,37529136.733007014,1000000000.0,1000000000.0,2.664596329817777e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2150.0,0.0,36.45058616983593,24.13695735821147,1e-15,0.9643751618918799,25.486365917099604,-1.1887293300686395,23381064.240401015,1000000000.0,1000000000.0,4.276965281469364e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2160.0,0.0,36.45058616983593,24.13695735821147,1e-15,1.1225951259894629,25.443084446386592,-1.2409703306261122,23969498.591335982,1000000000.0,1000000000.0,4.171968788539699e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2170.0,0.0,36.45058616983593,24.13695735821147,1e-15,0.36862069078927107,25.399990082410568,-1.2930251604290106,21250507.593206383,1000000000.0,1000000000.0,4.705769947442065e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2180.0,0.0,36.45058616983593,24.13695735821147,1e-15,2.6753965199973777,25.357081108575542,-1.3448955314014768,30235108.105815697,1000000000.0,1000000000.0,3.3074133437864274e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2190.0,0.0,36.45058616983593,24.13695735821147,1e-15,-0.46567234853219475,25.314355831835172,-1.3965831319626716,18494517.494542558,1000000000.0,1000000000.0,5.407007781063142e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2200.0,0.0,36.45058616983593,24.13695735821147,1e-15,5.528395365837525,25.27181258226338,-1.4480896274554027,43852775.321815185,1000000000.0,1000000000.0,2.2803573836808814e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2210.0,0.0,36.45058616983593,24.13695735821147,1e-15,3.7096983188811237,25.2294497126356,-1.4994166605644352,34878653.24604731,1000000000.0,1000000000.0,2.8670831781996254e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
2220.0,0.0,36.45058616983593,24.13695735821147,1e-15,1.3788155440665406,25.187265598018698,-1.5505658517259633,24942354.52119759,1000000000.0,1000000000.0,4.009244592967904e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
