episode,t,obs_d_norm,obs_rain_norm,obs_hum_norm,obs_vis_norm,next_obs_d_norm,next_obs_rain_norm,next_obs_hum_norm,next_obs_vis_norm,distance_m,rain_rate_mmph,humidity_pct,visibility_km,Cn2,action,reward,done,best_channel,snr_rf_db,snr_fso_db,snr_thz_db,Eb_RF_J,Eb_FSO_J,Eb_THz_J,outage_RF,outage_FSO,outage_THz
0,0,0.6823518872261047,0.05382101982831955,0.22035987675189972,0.18437181413173676,0.812094509601593,0.9233449697494507,0.27657440304756165,0.8197545409202576,2732.5839343600924,5.382101880222267,45.4251910940828,5.017109362117408,1.9900264534424426e-15,1,4.0,False,1,10.835814674321512,84.32690114256847,-87.85085015689125,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,1,0.812094509601593,0.9233449697494507,0.27657440304756165,0.8197545409202576,0.5129704475402832,0.244964599609375,0.824241578578949,0.21376296877861023,3250.257081556537,92.33449980270564,49.36020784579743,20.58398675902855,3.250131947730863e-14,2,-4.0,False,1,9.31108617099656,63.600273552443355,-92.67220429734073,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,2,0.5129704475402832,0.244964599609375,0.824241578578949,0.21376296877861023,0.6299402117729187,0.9274072647094727,0.2319081872701645,0.7991251349449158,2056.752116365832,24.496460106879645,87.6969117268188,5.73719260268984,1.818571082317512e-14,2,-4.0,False,1,13.301229607716252,80.73495981200561,-83.12871313870303,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,3,0.6299402117729187,0.9274072647094727,0.2319081872701645,0.7991251349449158,0.23155562579631805,0.1659040004014969,0.4977889657020569,0.5827246308326721,2523.4614163128263,92.7407258525167,46.23357320244932,20.07856565119203,7.591836648251876e-15,1,4.0,False,1,11.513716547545556,84.55290402742459,-85.96451054294658,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,4,0.23155562579631805,0.1659040004014969,0.4977889657020569,0.5827246308326721,0.01489491667598486,0.4711332321166992,0.728243350982666,0.9186004996299744,933.9069430200992,16.590399324074458,64.84522779484557,14.776753695075339,2.0567651799562302e-15,0,0.6720428572667686,False,1,20.161285718003057,88.25440840826083,-68.26069229058623,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,5,0.01489491667598486,0.4711332321166992,0.728243350982666,0.9186004996299744,0.9171225428581238,0.8646902441978455,0.21814286708831787,0.8661274313926697,69.43071787332667,47.11332288904608,80.97703297282831,23.005712048451812,1.155482872599248e-14,0,1.0,False,1,42.737272131806535,88.66953790305134,-40.26452989643293,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,6,0.9171225428581238,0.8646902441978455,0.21814286708831787,0.8661274313926697,0.27786529064178467,0.7970435619354248,0.8652217388153076,0.29943791031837463,3669.3190644649335,86.46902510937748,45.27000112749916,21.720122053086953,1.7439162339677427e-14,2,-4.0,False,1,8.256505882651567,71.5971454548766,-95.93440375654848,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,7,0.27786529064178467,0.7970435619354248,0.8652217388153076,0.29943791031837463,0.07148680835962296,0.583238422870636,0.23790639638900757,0.7649636268615723,1118.6825082927219,79.70435531834646,90.56551989906156,7.836228443117703,7.860111228544633e-15,1,4.0,False,1,18.588635881769434,87.22521457495378,-71.56772807478328,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,8,0.07148680835962296,0.583238422870636,0.23790639638900757,0.7649636268615723,0.3127422630786896,0.01447447668761015,0.03255192190408707,0.49670183658599854,295.23235842735363,58.323841015105806,46.65344797407323,19.241609329539386,1.972399762957909e-15,1,4.0,False,1,30.164102017916207,88.60440711445331,-54.128810382390725,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,9,0.3127422630786896,0.01447447668761015,0.03255192190408707,0.49670183658599854,0.12769033014774323,0.257562518119812,0.003181109204888344,0.38106775283813477,1257.8416024405599,1.447447679006697,32.27863451246125,12.669195123985842,6.246675538594763e-15,2,-4.0,False,1,17.575833220691322,87.4294519402974,-72.06765261697151,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,10,0.12769033014774323,0.257562518119812,0.003181109204888344,0.38106775283813477,0.42729878425598145,0.8351023197174072,0.6164912581443787,0.2660839259624481,519.4843883409861,25.756250490952382,30.222677650531814,9.836159821487568,9.514612292690227e-15,2,-4.0,False,1,25.25611089175986,88.20954326395616,-60.19677346129498,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,11,0.42729878425598145,0.8351023197174072,0.6164912581443787,0.2660839259624481,0.4994867444038391,0.7588103413581848,0.5660890936851501,0.4374403655529022,1714.922097418971,83.51023473085695,73.15438759871329,7.019055844276233,2.3872738452732038e-14,1,4.0,False,1,14.87443936948489,82.06273881477938,-78.74247725585184,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,12,0.4994867444038391,0.7588103413581848,0.5660890936851501,0.4374403655529022,0.022235287353396416,0.46935078501701355,0.6235584020614624,0.9461134076118469,2002.952133709039,75.88103210038678,69.62623604287032,11.217288858152846,4.7103645315337604e-15,1,4.0,False,1,13.525258318751284,86.44656463239227,-81.81122976731618,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
0,13,0.022235287353396416,0.46935078501701355,0.6235584020614624,0.9461134076118469,0.48564139008522034,0.519115149974823,0.40859097242355347,0.5787957310676575,98.71879880031653,46.93507881679626,73.64908815106739,23.67977881476318,5.4904248598075965e-15,0,1.0,False,1,39.68021520793397,88.66516283983007,-43.500899553563116,1e-07,1.0000000000000001e-11,1.0000000000000001e-11,False,False,True
