distance_m,FSPL_dB,gas_absorption_dB,total_loss_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1730.0,146.75334715696914,11.937000000000001,158.69034715696915,-79.68004720032934,1.0000000000000001e-11,77.6497061885575,1
1740.0,146.80341006004522,12.006,158.80941006004522,-79.79911010340541,1.0000000000000001e-11,75.54983611190654,1
1750.0,146.8531860681191,12.075000000000001,158.9281860681191,-79.91788611147928,1.0000000000000001e-11,73.51160957022925,1
1760.0,146.9026784506762,12.144,159.0466784506762,-80.0363784940364,1.0000000000000001e-11,71.53304204087848,1
1770.0,146.95189042162934,12.213000000000001,159.16489042162934,-80.15459046498952,1.0000000000000001e-11,69.612221078299,1
1780.0,147.00082514057112,12.282,159.28282514057113,-80.27252518393132,1.0000000000000001e-11,67.74730471231453,1
1790.0,147.0494857139911,12.351,159.4004857139911,-80.39018575735128,1.0000000000000001e-11,65.9365118378486,1
1800.0,147.09787519645937,12.420000000000002,159.51787519645939,-80.50757523981957,1.0000000000000001e-11,64.17812381663796,1
1810.0,147.14599659177696,12.489,159.63499659177697,-80.62469663513716,1.0000000000000001e-11,62.470484477232816,1
1820.0,147.1938528540947,12.558000000000002,159.7518528540947,-80.74155289745488,1.0000000000000001e-11,60.81199530985727,1
1830.0,147.2414468890018,12.627,159.8684468890018,-80.85814693236199,1.0000000000000001e-11,59.20110905955657,1
1840.0,147.28878155458398,12.696000000000002,159.98478155458398,-80.97448159794416,1.0000000000000001e-11,57.63633773476349,1
1850.0,147.33585966245352,12.765,160.1008596624535,-81.09055970581369,1.0000000000000001e-11,56.11624139530578,1
1860.0,147.38268397875157,12.834000000000001,160.21668397875158,-81.20638402211176,1.0000000000000001e-11,54.6394281524063,1
1870.0,147.4292572251232,12.903000000000002,160.3322572251232,-81.32195726848337,1.0000000000000001e-11,53.20455416868322,1
1880.0,147.47558207966682,12.972,160.44758207966683,-81.43728212302702,1.0000000000000001e-11,51.810326861576534,1
1890.0,147.5216611778581,13.041,160.5626611778581,-81.55236122121829,1.0000000000000001e-11,50.45548888621588,1
1900.0,147.5674971134498,13.11,160.67749711344982,-81.66719715681,1.0000000000000001e-11,49.13883094912649,1
1910.0,147.61309243934778,13.179,160.79209243934778,-81.78179248270797,1.0000000000000001e-11,47.85918379966314,1
1920.0,147.65844966846424,13.248,160.90644966846423,-81.89614971182442,1.0000000000000001e-11,46.615416628297,1
1930.0,147.70357127454872,13.317,161.02057127454873,-82.01027131790892,1.0000000000000001e-11,45.40643546490244,1
