distance_m,FSPL_dB,rain_loss_dB,shadowing_dB,total_loss_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,66.42940008672036,0.0,1.2188683190177254,67.6482684057381,58.341431637622094,1e-07,387612123.9787382,0
20.0,72.44999999999999,0.0,-4.159936424961982,68.290063575038,57.69963646832218,1e-07,383348135.9028279,0
30.0,75.97182518111362,0.0,3.001804783225829,78.97362996433944,47.01607007902075,1e-07,312368581.7923415,0
40.0,78.47059991327961,0.0,3.7622588655648554,82.23285877884447,43.756841264515714,1e-07,290715375.4983756,0
50.0,80.40880017344074,0.0,-7.804140754615346,72.60465941882539,53.385040624534795,1e-07,354682664.93723387,0
60.0,81.99242509439324,0.0,-5.208718027449272,76.78370706694398,49.20599297641621,1e-07,326917887.4301132,0
70.0,83.3313608870055,0.0,0.5113616126691415,83.84272249967465,42.14697754368554,1e-07,280020217.5563783,0
80.0,84.49119982655924,0.0,-1.2649703693743288,83.22622945718491,42.76347058617527,1e-07,284115875.77463573,0
90.0,85.51425027550687,0.0,-0.06720463001715518,85.44704564548971,40.54265439787048,1e-07,269362111.73193944,0
100.0,86.42940008672036,0.0,-3.41217571029432,83.01722437642604,42.972475666934145,1e-07,285504403.7278778,0
110.0,87.25725378988486,0.0,3.5175918994513142,90.77484568933617,35.21485435402401,1e-07,233971110.75116822,0
120.0,88.01302500767287,0.0,3.1111677417157932,91.12419274938865,34.86550729397153,1e-07,231650826.30089763,0
130.0,88.70826713285709,0.0,0.2641227902448642,88.97238992310196,37.01731012025823,1e-07,245943418.61063698,0
140.0,89.35196080028513,0.0,4.5089648278721315,93.86092562815726,32.128774415202926,1e-07,213476625.0420621,0
150.0,89.95122526783399,0.0,1.8700373690081824,91.82126263684218,34.16843740651801,1e-07,227021232.20514476,0
160.0,90.51179973983886,0.0,-3.437169851532953,87.0746298883059,38.91507015505428,1e-07,258549833.71379352,0
170.0,91.03837851428585,0.0,1.4750031363299954,92.51338165061586,33.47631839274433,1e-07,222424801.2912258,0
180.0,91.53485018878649,0.0,-3.8355304033159956,87.6993197854705,38.290380257889694,1e-07,254400056.83666617,0
190.0,92.00447210577693,0.0,3.51380120522909,95.51827331100601,30.471426732354175,1e-07,202473651.31852823,0
200.0,92.44999999999999,0.0,-0.19970364394501158,92.25029635605497,33.73940368730521,1e-07,224171940.76279756,0
210.0,92.87378598139875,0.0,-0.7394494541810422,92.13433652721771,33.855363516142475,1e-07,224942039.9556107,0
220.0,93.27785370316448,0.0,-2.7237181776157655,90.55413552554872,35.43556451781147,1e-07,235437047.16822308,0
230.0,93.66395680707222,0.0,4.890165354696121,98.55412216176835,27.43557788159184,1e-07,182330064.0839007,0
240.0,94.03362492095249,0.0,-0.6181179282752086,93.41550699267728,32.57419305068291,1e-07,216434200.62072945,0
250.0,94.38820026016111,0.0,-1.7133112886524289,92.67488897150868,33.31481107185151,1e-07,221352260.65245348,0
260.0,94.72886704613671,0.0,-1.4085342019529183,93.3203328441838,32.66936719917639,1e-07,217066178.40912902,0
270.0,95.05667536990012,0.0,2.129236742213395,97.18591211211351,28.803787931246674,1e-07,191406203.41823703,0
280.0,95.37256071356475,0.0,1.4617762574563133,96.83433697102106,29.155363072339128,1e-07,193739066.54660153,0
290.0,95.67736004469947,0.0,1.6509304463839536,97.32829049108342,28.661409552276766,1e-07,190461526.8044916,0
300.0,95.97182518111362,0.0,1.723284012031531,97.69510919314514,28.294590850215044,1e-07,188027892.1825728,0
310.0,96.25663396340582,0.0,8.566590403481845,104.82322436688766,21.16647567647253,1e-07,140846756.95540377,0
320.0,96.53239965311849,0.0,-1.6256600655384623,94.90673958758002,31.082960455780167,1e-07,206533196.2711618,0
330.0,96.79967888427811,0.0,-2.0489709162861494,94.75070796799196,31.23899207536823,1e-07,207569054.99850956,0
340.0,97.05897842756548,0.0,-3.255090912991511,93.80388751457397,32.185812528786215,1e-07,213855347.6063671,0
350.0,97.31076097372588,0.0,2.4639176903019826,99.77467866402786,26.215021379332327,1e-07,174237726.43860903,0
360.0,97.55545010206612,0.0,4.5158891708835665,102.07133927294969,23.9183607704105,1e-07,159026961.68413088,0
370.0,97.79343456806026,0.0,-0.4557898306195003,97.33764473744077,28.65205530591942,1e-07,190399463.09684846,0
380.0,98.02507201905655,0.0,-3.360625907850112,94.66444611120644,31.325253932153743,1e-07,208141740.07420912,0
390.0,98.25069222725034,0.0,-3.297924862764958,94.95276736448538,31.036932678874805,1e-07,206227633.73148274,0
400.0,98.47059991327961,0.0,2.6023711512988044,101.07297106457841,24.916728978781777,1e-07,165636024.89333174,0
410.0,98.68507722111508,0.0,2.973016684813769,101.65809390592885,24.331606137431336,1e-07,161761921.31910485,0
420.0,98.89438589467838,0.0,2.17261707322078,101.06700296789916,24.92269707546103,1e-07,165675548.7519055,0
430.0,99.09876919831208,0.0,-2.662038829154777,96.4367303691573,29.552969674202885,1e-07,196377644.92796695,0
440.0,99.2984536164441,0.0,0.9286452922668791,100.22709890871099,25.762601134649202,1e-07,171239465.51196167,0
450.0,99.49365036222724,0.0,0.4667432365629129,99.96039359879016,26.029306444570025,1e-07,173006869.3633165,0
460.0,99.68455672035185,0.0,0.8747543869160518,100.5593111072679,25.430388936092285,1e-07,169038364.14262536,0
470.0,99.87135724543472,0.0,3.4857151117927594,103.35707235722748,22.632627686132707,1e-07,150524873.09074682,0
480.0,100.05422483423212,0.0,0.8943821950987291,100.94860702933084,25.041093014029343,1e-07,166459664.31491545,0
490.0,100.23332168729064,0.0,2.7156542522875795,102.94897593957822,23.04072410378197,1e-07,153222165.3386476,0
500.0,100.40880017344074,0.0,0.27031627795556584,100.67911645139631,25.310583591963876,1e-07,168244699.3007537,0
510.0,100.5808036086791,0.0,1.1564775947599366,101.73728120343904,24.252418839921148,1e-07,161237763.34574082,0
520.0,100.74946695941634,0.0,2.5251529033541615,103.27461986277049,22.715080180589695,1e-07,151069731.8289225,0
530.0,100.91491747873613,0.0,-5.828623279422666,95.08629419931346,30.90340584404673,1e-07,205341209.63601357,0
540.0,101.07727528317974,0.0,-1.2786848654292053,99.79859041775055,26.19110962560964,1e-07,174079240.10009384,0
550.0,101.23665387660523,0.0,-1.881490617171182,99.35516325943405,26.634536783926137,1e-07,177018589.65920898,0
560.0,101.39316062684438,0.0,-2.5555113929733677,98.837649233871,27.152050809489182,1e-07,180449857.70957574,0
570.0,101.54689720017018,0.0,-1.100569004906735,100.44632819526345,25.54337184809674,1e-07,169786890.28661194,0
580.0,101.6979599579791,0.0,5.9797652449375835,107.67772520291668,18.31197484044351,1e-07,122084624.32740906,0
590.0,101.84644031956324,0.0,-3.463324462772973,98.38311585679027,27.60658418656992,1e-07,183464198.21118787,0
600.0,101.99242509439324,0.0,3.8731134183659233,105.86553851275916,20.12416153060103,1e-07,133981088.09163511,0
610.0,102.13599678693572,0.0,-6.731479086463219,95.4045177004725,30.58518234288769,1e-07,203228758.5983984,0
620.0,102.27723387668544,0.0,-1.3395401199430994,100.93769375674235,25.05200628661784,1e-07,166531944.3956401,0
630.0,102.416211075792,0.0,0.6510122604200224,103.06722333621202,22.922476707148164,1e-07,152440481.09573358,0
640.0,102.55299956639811,0.0,2.3448893254371126,104.89788889183522,21.091811151524965,1e-07,140354492.26930866,0
650.0,102.68766721957746,0.0,2.84490631917142,105.53257353874888,20.45712650461131,1e-07,136172756.61576137,0
660.0,102.82027879755773,0.0,3.173388940799701,105.99366773835743,19.996032305002757,1e-07,133138129.97611739,0
670.0,102.95089614073689,0.0,-1.3949002889937503,101.55599585174313,24.433704191617053,1e-07,162437782.3290556,0
680.0,103.0795783408451,0.0,-1.8494071706582687,101.23017117018684,24.759528873173352,1e-07,164595027.1204687,0
690.0,103.20638190146548,0.0,3.4319035250286154,106.6382854264941,19.351414616866094,1e-07,128901099.92285557,0
700.0,103.3313608870055,0.0,-0.7652172995264596,102.56614358747905,23.42355645588114,1e-07,155753617.6174272,0
710.0,103.45456706110187,0.0,-5.1027452933516875,98.35182176775018,27.637878275610007,1e-07,183671752.79068804,0
720.0,103.57605001534574,0.0,-4.533148856013923,99.04290115933182,26.946798884028368,1e-07,179088878.46496478,0
730.0,103.69585728912949,0.0,-3.6778091440064453,100.01804814512305,25.97165189823714,1e-07,172624780.5137147,0
740.0,103.81403448133989,0.0,1.9886429762150561,105.80267745755495,20.187022585805238,1e-07,134394736.95181665,0
750.0,103.93062535455437,0.0,0.569702944282261,104.50032829883662,21.489371744523567,1e-07,142976342.7763222,0
760.0,104.04567193233618,0.0,2.761941416271073,106.80761334860725,19.18208669475294,1e-07,127789273.58616155,0
770.0,104.15921459017,0.0,-1.709010585346137,102.45020400482386,23.539496038536328,1e-07,156520463.45384145,0
780.0,104.27129214052997,0.0,0.6341587643068569,104.90545090483683,21.08424913852336,1e-07,140304639.39204597,0
790.0,104.38194191252919,0.0,2.502361575869347,106.88430348839853,19.105396554961658,1e-07,127285886.35757056,0
800.0,104.49119982655924,0.0,-1.2373861588809536,103.25381366767829,22.7358863756819,1e-07,151207231.10160312,0
810.0,104.59910046429337,0.0,1.8271009502296458,106.42620141452302,19.563498628837166,1e-07,130294367.45592675,0
820.0,104.7056771343947,0.0,-2.647703764266605,102.0579733701281,23.93172667323209,1e-07,159115404.59291214,0
830.0,104.81096193424185,0.0,-1.4522153862602871,103.35874654798155,22.630953495378634,1e-07,150513810.35898343,0
840.0,104.914985807958,0.0,-1.5269515759933163,103.38803423196468,22.601665811395506,1e-07,150320286.70564437,0
850.0,105.01777860100623,0.0,-4.783358582356159,100.23442001865007,25.755280024710117,1e-07,171190953.92094964,0
860.0,105.11936911159171,0.0,1.9478899231423272,107.06725903473404,18.92244100862615,1e-07,126085421.70133469,0
