distance_m,rain_rate_mmph,humidity_pct,visibility_km,Cn2,SNR_RF_dB,SNR_FSO_dB,SNR_THz_dB,C_RF_bps,C_FSO_bps,C_THz_bps,Eb_RF_J_per_bit,Eb_FSO_J_per_bit,Eb_THz_J_per_bit,best_channel,scenario
110.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,29.562687270020405,29.96314669475477,26.882729848953815,196442135.83420992,1000000000.0,1000000000.0,5.090557561662656e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
120.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,27.14485862572748,27.20659700426718,26.098275074431314,180402165.83497432,1000000000.0,1000000000.0,5.543170700704146e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
130.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,25.757223564465647,24.51072818060561,25.37434939251257,171203832.3030414,1000000000.0,1000000000.0,5.840990745054924e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
140.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,24.09026407647775,21.866546955599077,24.70197216835004,160164537.9571723,1000000000.0,1000000000.0,6.243579338813428e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
150.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,25.288353436897978,19.26692331752878,24.07402414406667,168097439.99410406,1000000000.0,1000000000.0,5.948930572857472e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
160.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,25.42548431676032,16.706108801179354,23.48476611532729,169005871.6655862,1000000000.0,1000000000.0,5.916954187122629e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
170.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,22.82250500454741,14.179401052874084,22.92950378414581,151779694.01120698,1000000000.0,1000000000.0,6.588496613559933e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
180.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,24.292279256482814,11.682904405903116,22.404348552910648,161501603.6966573,1000000000.0,1000000000.0,6.191888978875184e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
190.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,20.883616499409243,9.213355266342518,21.90604307918568,138982209.2835332,1000000000.0,1000000000.0,7.195165519062456e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
200.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,20.93645834173455,6.767992332919292,21.43183162822811,139330458.7245879,1000000000.0,1000000000.0,7.177181566427501e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
210.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,24.969253175590595,4.344458508552876,20.979362090094867,165983873.5679924,1000000000.0,1000000000.0,6.024681666381087e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
220.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,24.005044728259648,1.940725647270554,20.546610811594633,159600573.5796585,1000000000.0,1000000000.0,6.265641642577734e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
230.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,20.998710346170924,-0.4449639603821822,20.131824150952383,139740768.43835425,927985323.8454654,1000000000.0,7.156107778533819e-10,1.0776032489997945e-11,3.1622776601683794e-11,2,worst
240.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,23.162133327315445,-2.8141436417741517,19.73347248033761,154024860.49544868,607011710.7302103,1000000000.0,6.492458404333691e-10,1.647414674746622e-11,3.1622776601683794e-11,2,worst
