distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
640.0,138.11380779595436,32138.113807795955,-32138.113807795955,-32050.113807795955,1e-10,0.0,1
650.0,138.24847544913374,32638.248475449134,-32638.248475449134,-32550.248475449134,1e-10,0.0,1
660.0,138.381087027114,33138.38108702711,-33138.38108702711,-33050.38108702711,1e-10,0.0,1
670.0,138.51170437029316,33638.51170437029,-33638.51170437029,-33550.51170437029,1e-10,0.0,1
680.0,138.64038657040135,34138.6403865704,-34138.6403865704,-34050.6403865704,1e-10,0.0,1
690.0,138.76719013102172,34638.767190131024,-34638.767190131024,-34550.767190131024,1e-10,0.0,1
700.0,138.89216911656175,35138.89216911656,-35138.89216911656,-35050.89216911656,1e-10,0.0,1
710.0,139.01537529065814,35639.015375290655,-35639.015375290655,-35551.015375290655,1e-10,0.0,1
720.0,139.136858244902,36139.1368582449,-36139.1368582449,-36051.1368582449,1e-10,0.0,1
730.0,139.25666551868574,36639.25666551869,-36639.25666551869,-36551.25666551869,1e-10,0.0,1
740.0,139.37484271089613,37139.374842710895,-37139.374842710895,-37051.374842710895,1e-10,0.0,1
750.0,139.4914335841106,37639.49143358411,-37639.49143358411,-37551.49143358411,1e-10,0.0,1
760.0,139.60648016189245,38139.60648016189,-38139.60648016189,-38051.60648016189,1e-10,0.0,1
770.0,139.72002281972627,38639.720022819725,-38639.720022819725,-38551.720022819725,1e-10,0.0,1
780.0,139.83210037008624,39139.832100370084,-39139.832100370084,-39051.832100370084,1e-10,0.0,1
790.0,139.94275014208546,39639.94275014209,-39639.94275014209,-39551.94275014209,1e-10,0.0,1
800.0,140.05200805611548,40140.05200805612,-40140.05200805612,-40052.05200805612,1e-10,0.0,1
810.0,140.15990869384962,40640.15990869385,-40640.15990869385,-40552.15990869385,1e-10,0.0,1
820.0,140.26648536395095,41140.26648536395,-41140.26648536395,-41052.26648536395,1e-10,0.0,1
830.0,140.3717701637981,41640.3717701638,-41640.3717701638,-41552.3717701638,1e-10,0.0,1
840.0,140.47579403751425,42140.47579403751,-42140.47579403751,-42052.47579403751,1e-10,0.0,1
850.0,140.57858683056247,42640.57858683056,-42640.57858683056,-42552.57858683056,1e-10,0.0,1
860.0,140.68017734114795,43140.68017734115,-43140.68017734115,-43052.68017734115,1e-10,0.0,1
870.0,140.780593368649,43640.78059336865,-43640.78059336865,-43552.78059336865,1e-10,0.0,1
880.0,140.87986175928,44140.87986175928,-44140.87986175928,-44052.87986175928,1e-10,0.0,1
890.0,140.9780084491749,44640.97800844917,-44640.97800844917,-44552.97800844917,1e-10,0.0,1
900.0,141.0750585050631,45141.07505850506,-45141.07505850506,-45053.07505850506,1e-10,0.0,1
910.0,141.1710361626985,45641.1710361627,-45641.1710361627,-45553.1710361627,1e-10,0.0,1
920.0,141.26596486318772,46141.26596486319,-46141.26596486319,-46053.26596486319,1e-10,0.0,1
930.0,141.35986728735534,46641.359867287356,-46641.359867287356,-46553.359867287356,1e-10,0.0,1
940.0,141.4527653882706,47141.45276538827,-47141.45276538827,-47053.45276538827,1e-10,0.0,1
950.0,141.54468042205357,47641.544680422056,-47641.544680422056,-47553.544680422056,1e-10,0.0,1
960.0,141.63563297706798,48141.63563297707,-48141.63563297707,-48053.63563297707,1e-10,0.0,1
970.0,141.72564300160153,48641.7256430016,-48641.7256430016,-48553.7256430016,1e-10,0.0,1
980.0,141.8147298301265,49141.81472983013,-49141.81472983013,-49053.81472983013,1e-10,0.0,1
990.0,141.90291220822763,49641.90291220823,-49641.90291220823,-49553.90291220823,1e-10,0.0,1
1000.0,141.9902083162766,50141.990208316274,-50141.990208316274,-50053.990208316274,1e-10,0.0,1
1010.0,142.07663579192948,50642.07663579193,-50642.07663579193,-50554.07663579193,1e-10,0.0,1
1020.0,142.16221175151497,51142.162211751514,-51142.162211751514,-51054.162211751514,1e-10,0.0,1
1030.0,142.24695281038007,51642.24695281038,-51642.24695281038,-51554.24695281038,1e-10,0.0,1
1040.0,142.33087510225224,52142.33087510225,-52142.33087510225,-52054.33087510225,1e-10,0.0,1
1050.0,142.41399429767537,52642.413994297676,-52642.413994297676,-52554.413994297676,1e-10,0.0,1
1060.0,142.49632562157203,53142.49632562157,-53142.49632562157,-53054.49632562157,1e-10,0.0,1
1070.0,142.5778838699808,53642.577883869984,-53642.577883869984,-53554.577883869984,1e-10,0.0,1
1080.0,142.6586834260156,54142.658683426016,-54142.658683426016,-54054.658683426016,1e-10,0.0,1
1090.0,142.7387382750891,54642.73873827509,-54642.73873827509,-54554.73873827509,1e-10,0.0,1
1100.0,142.81806201944113,55142.81806201944,-55142.81806201944,-55054.81806201944,1e-10,0.0,1
1110.0,142.89666789200976,55642.89666789201,-55642.89666789201,-55554.89666789201,1e-10,0.0,1
1120.0,142.97456876968025,56142.97456876968,-56142.97456876968,-56054.97456876968,1e-10,0.0,1
1130.0,143.051777185945,56643.051777185945,-56643.051777185945,-56555.051777185945,1e-10,0.0,1
1140.0,143.12830534300608,57143.12830534301,-57143.12830534301,-57055.12830534301,1e-10,0.0,1
