distance_m,FSPL_dB,rain_loss_dB,shadowing_dB,total_loss_dB
10.0,66.42940008672036,1.4822688982138956e-05,1.2188683190177254,67.64828322842708
20.0,72.44999999999999,2.9645377964277912e-05,-4.159936424961982,68.29009322041597
30.0,75.97182518111362,4.4468066946416864e-05,3.001804783225829,78.9736744324064
40.0,78.47059991327961,5.9290755928555825e-05,3.7622588655648554,82.2329180696004
50.0,80.40880017344074,7.411344491069478e-05,-7.804140754615346,72.6047335322703
60.0,81.99242509439324,8.893613389283373e-05,-5.208718027449272,76.78379600307787
70.0,83.3313608870055,0.0001037588228749727,0.5113616126691415,83.84282625849752
80.0,84.49119982655924,0.00011858151185711165,-1.2649703693743288,83.22634803869677
90.0,85.51425027550687,0.00013340420083925058,-0.06720463001715518,85.44717904969055
100.0,86.42940008672036,0.00014822688982138956,-3.41217571029432,83.01737260331586
110.0,87.25725378988486,0.0001630495788035285,3.5175918994513142,90.77500873891498
120.0,88.01302500767287,0.00017787226778566745,3.1111677417157932,91.12437062165644
130.0,88.70826713285709,0.00019269495676780643,0.2641227902448642,88.97258261805872
140.0,89.35196080028513,0.0002075176457499454,4.5089648278721315,93.86113314580301
150.0,89.95122526783399,0.00022234033473208432,1.8700373690081824,91.82148497717691
160.0,90.51179973983886,0.0002371630237142233,-3.437169851532953,87.07486705132962
170.0,91.03837851428585,0.00025198571269636225,1.4750031363299954,92.51363363632854
180.0,91.53485018878649,0.00026680840167850117,-3.8355304033159956,87.69958659387217
190.0,92.00447210577693,0.00028163109066064014,3.51380120522909,95.51855494209667
200.0,92.44999999999999,0.0002964537796427791,-0.19970364394501158,92.25059280983461
210.0,92.87378598139875,0.00031127646862491804,-0.7394494541810422,92.13464780368633
220.0,93.27785370316448,0.000326099157607057,-2.7237181776157655,90.55446162470632
230.0,93.66395680707222,0.000340921846589196,4.890165354696121,98.55446308361493
240.0,94.03362492095249,0.0003557445355713349,-0.6181179282752086,93.41586273721285
